Trata	Muestra	Conc	In
I	1	0.025	95.18
I	1	0.05	96.25
I	1	0.1	96.57
I	1	0.25	97.64
I	2	0.025	74.17
I	2	0.05	91.64
I	2	0.1	95.50
I	2	0.25	97.43
I	3	0.025	98.07
I	3	0.05	97.00
I	3	0.1	97.86
I	3	0.25	98.61
MM	1	0.025	34.20
MM	1	0.05	46.16
MM	1	0.1	66.90
MM	1	0.25	95.71
MM	2	0.025	30.61
MM	2	0.05	43.77
MM	2	0.1	66.00
MM	2	0.25	95.71
MM	3	0.025	37.39
MM	3	0.05	52.34
MM	3	0.1	78.17
MM	3	0.25	96.91
M	1	0.025	56.23
M	1	0.05	77.97
M	1	0.1	94.28
M	1	0.25	95.08
M	2	0.025	55.33
M	2	0.05	77.37
M	2	0.1	95.71
M	2	0.25	95.39
M	3	0.025	49.75
M	3	0.05	74.48
M	3	0.1	93.73
M	3	0.25	95.55
SM	1	0.025	12.79
SM	1	0.05	7.70
SM	1	0.1	11.28
SM	1	0.25	77.05
SM	2	0.025	10.33
SM	2	0.05	1.59
SM	2	0.1	5.88
SM	2	0.25	71.41
SM	3	0.025	3.57
SM	3	0.05	0.00
SM	3	0.1	0.00
SM	3	0.25	65.93
