VR	DIA	TEMP	N	MEAN	sd	se	ci
PESO	0.00	5.00	50.00	13.89	2.67	0.38	0.76
PESO	0.00	9.00	45.00	13.47	2.69	0.40	0.81
PESO	3.00	5.00	50.00	13.65	2.64	0.37	0.75
PESO	3.00	9.00	45.00	13.13	2.66	0.40	0.80
PESO	7.00	5.00	50.00	13.45	2.62	0.37	0.74
PESO	7.00	9.00	45.00	13.04	2.65	0.40	0.80
PESO	10.00	5.00	48.00	13.03	2.49	0.36	0.72
PESO	10.00	9.00	24.00	12.29	2.20	0.45	0.93
PESO	14.00	5.00	43.00	13.13	2.38	0.36	0.73
PESO	14.00	9.00	21.00	12.06	2.22	0.48	1.01
L	0.00	5.00	49.00	62.70	4.00	0.57	1.15
L	0.00	9.00	48.00	62.29	4.83	0.70	1.40
L	3.00	5.00	50.00	61.59	5.20	0.74	1.48
L	3.00	9.00	49.00	62.71	5.16	0.74	1.48
L	7.00	5.00	50.00	69.11	3.94	0.56	1.12
L	7.00	9.00	50.00	70.52	4.31	0.61	1.22
L	10.00	5.00	48.00	66.44	5.40	0.78	1.57
L	10.00	9.00	26.00	69.36	3.45	0.68	1.39
L	14.00	5.00	43.00	66.82	5.11	0.78	1.57
L	14.00	9.00	23.00	66.88	4.08	0.85	1.76
a	0.00	5.00	50.00	-12.92	3.14	0.44	0.89
a	0.00	9.00	50.00	-13.74	2.97	0.42	0.85
a	3.00	5.00	50.00	-9.77	3.64	0.52	1.04
a	3.00	9.00	50.00	-8.97	3.86	0.55	1.10
a	7.00	5.00	50.00	-4.57	4.28	0.60	1.22
a	7.00	9.00	50.00	0.06	3.91	0.55	1.11
a	10.00	5.00	48.00	-2.74	3.88	0.56	1.13
a	10.00	9.00	26.00	4.56	4.12	0.81	1.66
a	14.00	5.00	43.00	0.25	4.14	0.63	1.27
a	14.00	9.00	23.00	8.50	3.77	0.79	1.63
b	0.00	5.00	50.00	51.69	4.92	0.70	1.40
b	0.00	9.00	50.00	51.03	6.24	0.88	1.77
b	3.00	5.00	50.00	55.15	5.71	0.81	1.62
b	3.00	9.00	50.00	53.18	6.75	0.95	1.92
b	7.00	5.00	50.00	60.73	4.17	0.59	1.19
b	7.00	9.00	50.00	64.88	5.12	0.72	1.45
b	10.00	5.00	48.00	58.52	6.29	0.91	1.83
b	10.00	9.00	26.00	63.96	5.92	1.16	2.39
b	14.00	5.00	43.00	60.39	6.24	0.95	1.92
b	14.00	9.00	23.00	61.89	6.76	1.41	2.92
FU	0.00	5.00	18.00	12.97	4.28	1.01	2.13
FU	0.00	9.00	18.00	12.97	4.28	1.01	2.13
FU	7.00	5.00	26.00	6.17	2.90	0.57	1.17
FU	7.00	9.00	20.00	6.44	5.63	1.26	2.63
FU	14.00	5.00	23.00	3.98	1.59	0.33	0.69
FU	14.00	9.00	21.00	3.63	0.52	0.11	0.24
