VR	DIA	TEMP	N	MEAN	sd	se	ci
pH	0	5	3	3.103333	0.03511885	0.020275875	0.08724005
pH	0	9	3	3.103333	0.03511885	0.020275875	0.08724005
pH	7	5	3	2.953333	0.08082904	0.046666667	0.20079046
pH	7	9	3	2.906667	0.08020806	0.046308147	0.19924787
pH	14	5	3	2.876667	0.01527525	0.008819171	0.03794583
pH	14	9	3	2.856667	0.08504901	0.049103066	0.21127344
SS	0	5	3	8.5	0.7549834	0.4358899	1.875483
SS	0	9	3	8.5	0.7549834	0.4358899	1.875483
SS	7	5	3	8	0.5567764	0.321455	1.383109
SS	7	9	3	7.6	0.7	0.4041452	1.738896
SS	14	5	3	8.366667	0.4041452	0.2333333	1.003952
SS	14	9	3	7.333333	0.7767453	0.4484541	1.929542
acidez	0	5	3	2.837333	0.426133	0.246028	1.0585731
acidez	0	9	3	2.837333	0.426133	0.246028	1.0585731
acidez	7	5	3	2.922667	0.48460018	0.27978404	1.2038136
acidez	7	9	3	2.986667	0.47175135	0.27236577	1.1718953
acidez	14	5	3	3.413333	0.09776161	0.05644269	0.2428533
acidez	14	9	3	3.328	0.27896953	0.16106313	0.6929987
