site	phenotype	latitude	longitude	altitude	dbh	larger_diameter	minor_diameter	height
Concordia	154	-31.2933500	-57.9630500	24.3840000	72.0000000	5.5000000	5.0000000	6.0000000
Concordia	156	-31.2932167	-57.9629000	16.7640000	51.0000000	5.5000000	4.2000000	5.6250000
Concordia	161	-31.2931333	-57.9628333	23.7744000	44.0000000	4.7000000	5.0000000	5.2500000
Concordia	171	-31.2931000	-57.9627833	23.4696000	39.0000000	5.0000000	4.4000000	4.8750000
Concordia	174	-31.2930333	-57.9629667	24.3840000	98.0000000	6.2000000	6.0000000	7.8750000
Concordia	175	-31.2938167	-57.9608333	38.7096000	42.0000000	4.6000000	4.5000000	4.1250000
Concordia	178	-31.2940833	-57.9608000	24.9936000	12.0000000	3.1000000	2.6000000	1.8750000
Concordia	185	-31.2941167	-57.9607667	45.7200000	30.0000000	3.1000000	3.4000000	3.6000000
Concordia	190	-31.2946833	-57.9617333	17.0688000	33.0000000	6.0000000	6.0000000	7.5000000
Concordia	193	-31.2936667	-57.9609167	26.5176000	24.0000000	3.5000000	3.8000000	5.2500000
Concordia	197	-31.2907167	-57.9580000	33.2232000	36.0000000	6.0000000	6.0000000	5.2500000
Concordia	198	-31.2927361	-57.9637389					
Concordia	199	-31.2939306	-57.9659056					
Concordia	208	-31.2906167	-57.9579500	24.9936000	7.5000000	3.2000000	3.0000000	2.6000000
Concordia	221	-31.3153194	-57.9905028					
Concordia	222	-31.3135417	-57.9919583					
Concordia	223	-31.3140444	-57.9918639					
Palmar	260	-31.8639500	-58.2099833	82.2960000	270.0000000	10.0000000	9.0000000	9.7500000
Palmar	261	-31.8636333	-58.2103000	19.5072000	64.0000000	8.0000000	5.5000000	7.5000000
Palmar	262	-31.8637500	-58.2102500	20.1168000	66.0000000	5.0000000	4.0000000	8.2500000
Palmar	268	-31.8658667	-58.2104333	16.1544000	53.0000000	8.5000000	4.2000000	7.5000000
Palmar	271	-31.8656167	-58.2103667	23.7744000	78.0000000	7.0000000	5.0000000	9.3750000
Palmar	272	-31.8665500	-58.2109500	16.4592000	54.0000000	5.2000000	4.2000000	6.3750000
Palmar	274	-31.8665333	-58.2110500	14.3256000	47.0000000	3.5000000	3.0000000	7.8750000
Palmar	276	-31.8663333	-58.2110000	17.3736000	57.0000000	4.6000000	5.5000000	7.5000000
Palmar	280	-31.8662833	-58.2108167	18.8976000	62.0000000	4.0000000	3.0000000	8.6250000
Palmar	281	-31.8744667	-58.2085333	8.2296000	27.0000000	6.3000000	3.5000000	5.2500000
Palmar	284	-31.8743500	-58.2084500	6.0960000	20.0000000	3.8000000	3.8000000	4.7000000
Palmar	285	-31.8742306	-58.2084083	33.5280000	110.0000000	8.0000000	6.4000000	7.8750000
Palmar	286	-31.8740000	-58.2332167	20.4216000	67.0000000	6.5000000	5.5000000	10.5000000
Palmar	287	-31.8730167	-58.2325333	35.0520000	115.0000000	7.8000000	7.4000000	11.6250000
Palmar	288	-31.8742833	-58.2085500	6.4008000	21.0000000	3.4000000	3.0000000	4.7000000
Palmar	289	-31.8743750	-58.2085833					
Palmar	236	-31.8736639	-58.2207833					
Palmar	290	-31.8743333	-58.2083444					
Gualeguaychu	305	-33.0649000	-58.2696500	30.4800000	100.0000000	7.7000000	7.2000000	9.7500000
Gualeguaychu	306	-33.0651500	-58.2698667	0.0640080	0.2100000	3.5000000	3.3000000	3.5000000
Gualeguaychu	321	-33.0654167	-58.2698833	0.0883920	0.2900000	4.7000000	4.5000000	4.5000000
Gualeguaychu	324	-33.0650500	-58.2701667	0.2834640	0.9300000	6.0000000	7.0000000	10.1250000
Gualeguaychu	325	-33.0651333	-58.2703000	0.4419600	1.4500000	9.1000000	8.8000000	9.0000000
Gualeguaychu	331	-33.0650167	-58.2703167	0.1066800	0.3500000	5.5000000	4.8000000	3.9000000
Gualeguaychu	337	-33.0646500	-58.2707000	0.1097280	0.3600000	4.8000000	3.8000000	5.6250000
Gualeguaychu	348	-33.0646667	-58.2711833	0.4876800	1.6000000	2.8000000	2.5000000	4.5000000
Gualeguaychu	351	-33.0660167	-58.2710167	0.0762000	0.2500000	3.3000000	5.3000000	9.0000000
Gualeguaychu	359	-33.0660000	-58.2709000	0.0670560	0.2200000	3.8000000	2.0000000	3.9000000
Gualeguaychu	362	-33.0665000	-58.2700667	0.0304800	0.1000000	1.5000000	1.4000000	3.1000000
Gualeguaychu	363	-33.0664333	-58.2701167	0.1402080	0.4600000	5.0000000	4.8000000	7.1250000
Gualeguaychu	364	-33.0643000	-58.2689167	0.1036320	0.3400000	5.0000000	4.7000000	6.0000000
Gualeguaychu	390	-33.0639583	-58.2764361					
Gualeguaychu	392	-33.0638400	-58.2767333					
Gualeguaychu	393	-33.0626867	-58.2778900					
Gualeguaychu	395	-33.0635278	-58.2769306					
Gualeguaychu	396	-33.0628194	-58.2778917					
