CAR	MAD	REP	CONS	CONF	H	PS
Sacarosa	I	1	9.733333	1.903858	0.804398104	0.195601896
Sacarosa	I	1	7.6	1.486574	0.804398104	0.195601896
Sacarosa	I	2	20.584329	3.436976	0.833029501	0.166970499
Sacarosa	I	2	17.928287	2.993495	0.833029501	0.166970499
Sacarosa	I	3	37.21519	5.621952	0.848933947	0.151066053
Sacarosa	I	3	34.177215	5.163017	0.848933947	0.151066053
Sacarosa	M	1	75.516866	8.816889	0.8832461	0.1167539
Sacarosa	M	1	73.231774	8.550095	0.8832461	0.1167539
Sacarosa	M	2	88.505747	9.746001	0.889882843	0.110117157
Sacarosa	M	2	85.440613	9.408477	0.889882843	0.110117157
Sacarosa	M	3	87.333333	9.502912	0.891188026	0.108811974
Sacarosa	M	3	85.2	9.27078	0.891188026	0.108811974
Sacarosa	MM	1	92.607527	11.601025	0.874729139	0.125270861
Sacarosa	MM	1	93.010753	11.651537	0.874729139	0.125270861
Sacarosa	MM	2	75.238095	8.781824	0.883279556	0.116720444
Sacarosa	MM	2	76.054422	8.877106	0.883279556	0.116720444
Sacarosa	MM	3	65.113182	8.001772	0.877109796	0.122890204
Sacarosa	MM	3	64.713715	7.952682	0.877109796	0.122890204
Sacarosa	SM	1	55.939227	6.612279	0.88179531	0.11820469
Sacarosa	SM	1	55.248619	6.530646	0.88179531	0.11820469
Sacarosa	SM	2	77.123288	9.911673	0.871482742	0.128517258
Sacarosa	SM	2	76.575342	9.841253	0.871482742	0.128517258
Sacarosa	SM	3	46.067416	5.801449	0.874066104	0.125933896
Sacarosa	SM	3	45.365169	5.713012	0.874066104	0.125933896
Glucosa	I	1	93.733333	18.334418	0.804398104	0.195601896
Glucosa	I	1	92.933333	18.177936	0.804398104	0.195601896
Glucosa	I	2	100.398406	16.763572	0.833029501	0.166970499
Glucosa	I	2	100.531208	16.785746	0.833029501	0.166970499
Glucosa	I	3	93.164557	14.074002	0.848933947	0.151066053
Glucosa	I	3	92.78481	14.016635	0.848933947	0.151066053
Glucosa	M	1	95.756257	11.179916	0.8832461	0.1167539
Glucosa	M	1	98.041349	11.44671	0.8832461	0.1167539
Glucosa	M	2	96.679438	10.646065	0.889882843	0.110117157
Glucosa	M	2	98.339719	10.82889	0.889882843	0.110117157
Glucosa	M	3	119.466667	12.999404	0.891188026	0.108811974
Glucosa	M	3	121.733333	13.246044	0.891188026	0.108811974
Glucosa	MM	1	102.016129	12.779648	0.874729139	0.125270861
Glucosa	MM	1	104.166667	13.049048	0.874729139	0.125270861
Glucosa	MM	2	79.863946	9.321755	0.883279556	0.116720444
Glucosa	MM	2	82.44898	9.623482	0.883279556	0.116720444
Glucosa	MM	3	84.687084	10.407213	0.877109796	0.122890204
Glucosa	MM	3	83.754993	10.292668	0.877109796	0.122890204
Glucosa	SM	1	178.176796	21.061333	0.88179531	0.11820469
Glucosa	SM	1	179.41989	21.208272	0.88179531	0.11820469
Glucosa	SM	2	151.369863	19.45364	0.871482742	0.128517258
Glucosa	SM	2	155.205479	19.946583	0.871482742	0.128517258
Glucosa	SM	3	154.213483	19.420705	0.874066104	0.125933896
Glucosa	SM	3	160.393258	20.198948	0.874066104	0.125933896
Fructosa	I	1	157.333333	30.774698	0.804398104	0.195601896
Fructosa	I	1	156.666667	30.644297	0.804398104	0.195601896
Fructosa	I	2	157.50332	26.298408	0.833029501	0.166970499
Fructosa	I	2	156.972112	26.209712	0.833029501	0.166970499
Fructosa	I	3	136.708861	20.652068	0.848933947	0.151066053
Fructosa	I	3	135.316456	20.441723	0.848933947	0.151066053
Fructosa	M	1	153.645267	17.938684	0.8832461	0.1167539
Fructosa	M	1	153.971708	17.976798	0.8832461	0.1167539
Fructosa	M	2	152.234994	16.763685	0.889882843	0.110117157
Fructosa	M	2	151.724138	16.707431	0.889882843	0.110117157
Fructosa	M	3	183.866667	20.006895	0.891188026	0.108811974
Fructosa	M	3	183.066667	19.919845	0.891188026	0.108811974
Fructosa	MM	1	149.05914	18.672767	0.874729139	0.125270861
Fructosa	MM	1	151.478495	18.975842	0.874729139	0.125270861
Fructosa	MM	2	124.489796	14.530504	0.883279556	0.116720444
Fructosa	MM	2	125.986395	14.705188	0.883279556	0.116720444
Fructosa	MM	3	128.095872	15.741728	0.877109796	0.122890204
Fructosa	MM	3	127.296937	15.643547	0.877109796	0.122890204
Fructosa	SM	1	226.79558	26.808301	0.88179531	0.11820469
Fructosa	SM	1	227.071823	26.840954	0.88179531	0.11820469
Fructosa	SM	2	190.410959	24.471094	0.871482742	0.128517258
Fructosa	SM	2	190.410959	24.471094	0.871482742	0.128517258
Fructosa	SM	3	200.280899	25.222154	0.874066104	0.125933896
Fructosa	SM	3	200.140449	25.204467	0.874066104	0.125933896
Tartárico	I	1	0	0	0.804398104	0.195601896
Tartárico	I	1	0	0	0.804398104	0.195601896
Tartárico	I	2	0	0	0.833029501	0.166970499
Tartárico	I	2	0	0	0.833029501	0.166970499
Tartárico	I	3	0	0	0.848933947	0.151066053
Tartárico	I	3	0	0	0.848933947	0.151066053
Tartárico	M	1	0	0	0.8832461	0.1167539
Tartárico	M	1	0	0	0.8832461	0.1167539
Tartárico	M	2	0	0	0.889882843	0.110117157
Tartárico	M	2	0	0	0.889882843	0.110117157
Tartárico	M	3	0	0	0.891188026	0.108811974
Tartárico	M	3	0	0	0.891188026	0.108811974
Tartárico	MM	1	0	0	0.874729139	0.125270861
Tartárico	MM	1	0	0	0.874729139	0.125270861
Tartárico	MM	2	0	0	0.883279556	0.116720444
Tartárico	MM	2	0	0	0.883279556	0.116720444
Tartárico	MM	3	0	0	0.877109796	0.122890204
Tartárico	MM	3	0	0	0.877109796	0.122890204
Tartárico	SM	1	1.478902	0.174813	0.88179531	0.11820469
Tartárico	SM	1	1.332577	0.157517	0.88179531	0.11820469
Tartárico	SM	2	0.699287	0.08987	0.871482742	0.128517258
Tartárico	SM	2	0.13025	0.016739	0.871482742	0.128517258
