DIA	TEMP	FU	GR	DI	ID
0	9	9.2	2.7	3.3	1
0	9	9.2	2.2	4.2	2
0	9	12.8	3.2	4.0	3
0	9	13.4	4.2	3.2	4
0	9	16.3	4.7	3.4	5
0	9	17.5	4.3	4.0	6
0	9	10.5	3.4	3.0	7
0	9	17.0	5.6	3.0	8
0	9	10.6	2.6	4.0	9
0	9	15.1	4.1	3.7	10
0	9	12.6	3.4	3.7	11
0	9	8.7	2.4	3.6	12
0	9	5.8	1.5	3.9	13
0	9	11.9	3.4	3.5	14
0	9	13.7	3.8	3.6	15
0	9	24.5	7.1	3.4	16
0	9	15.0	5.4	2.8	17
0	9	9.7	3.2	3.1	18
14	5	6.4	1.8	3.4	19
14	5	3.0	1.0	2.8	20
14	5	2.1	0.6	3.1	21
14	5	5.9	2.2	2.6	22
14	5	3.4	1.1	3.0	23
14	5	4.2	1.4	3.1	24
14	5	2.2	0.8	2.7	25
14	5	4.8	1.6	3.0	26
14	5	5.9	1.8	3.2	27
14	5	6.1	2.1	2.8	28
14	5	5.4	1.7	3.2	29
14	5	6.9	2.6	2.7	30
14	5	3.7	1.4	2.6	31
14	5	2.6	0.9	2.7	32
14	5	2.9	0.9	3.0	33
14	5	3.0	1.0	3.0	34
14	5	3.8	1.4	2.6	35
14	5	4.4	1.7	2.6	36
14	5	1.3	0.5	2.4	37
14	5	2.2	0.8	2.8	38
14	5	4.9	2.0	2.4	39
14	5	2.3	1.0	2.4	40
14	5	4.1	1.6	2.5	41
14	9	3.4	1.2	2.8	42
14	9	4.5	1.5	3.1	43
14	9	3.7	1.2	3.0	44
14	9	4.3	1.3	3.2	45
14	9	3.8	1.1	3.5	46
14	9	4.5	1.4	3.3	47
14	9	3.7	1.2	3.1	48
14	9	3.0	0.9	3.2	49
14	9	3.2	1.0	3.0	50
14	9	3.8	1.3	2.9	51
14	9	4.0	1.2	3.1	52
14	9	4.1	1.3	3.0	53
14	9	3.7	1.2	3.0	54
14	9	4.0	1.3	2.9	55
14	9	3.1	1.0	3.1	56
14	9	3.4	1.1	3.0	57
14	9	4.0	1.4	2.9	58
14	9	3.0	1.1	2.6	59
14	9	2.7	0.9	2.8	60
14	9	3.3	1.3	2.6	61
14	9	3.0	1.3	2.3	62
7	9	3.9	1.3	2.9	63
7	9	9.0	3.1	2.8	64
7	9	5.5	1.7	3.1	65
7	9	2.4	0.7	3.1	66
7	9	4.4	1.4	3.2	67
7	9	7.2	2.4	3.0	68
7	9	3.1	1.0	2.9	69
7	9	4.8	1.5	3.1	70
7	9	9.3	2.9	3.1	71
7	9	5.0	1.7	3.0	72
7	9	6.3	2.2	2.8	73
7	9	5.8	1.9	2.9	74
7	9	6.4	2.4	2.7	75
7	9	4.8	1.7	2.7	76
7	9	3.5	1.2	2.9	77
7	9	29.1	10.7	2.7	78
7	9	4.6	1.7	2.8	79
7	9	3.0	1.1	2.6	80
7	9	5.5	2.2	2.5	81
7	9	5.2	2.0	2.6	82
7	5	3.6	1.2	2.9	83
7	5	4.0	1.2	3.3	84
7	5	5.3	1.5	3.4	85
7	5	6.5	1.9	3.5	86
7	5	15.5	3.9	3.9	87
7	5	7.4	1.9	3.9	88
7	5	7.0	2.1	3.3	89
7	5	4.7	1.4	3.4	90
7	5	3.6	1.1	3.2	91
7	5	6.1	1.9	3.1	92
7	5	8.7	2.9	3.0	93
7	5	4.8	1.5	3.1	94
7	5	8.8	2.9	3.0	95
7	5	4.2	1.4	2.9	96
7	5	8.7	3.0	2.9	97
7	5	5.8	1.8	3.1	98
7	5	6.3	2.3	2.7	99
7	5	3.9	1.4	2.8	100
7	5	8.1	3.0	2.7	101
7	5	6.1	2.5	2.4	102
7	5	3.6	1.3	2.8	103
7	5	2.5	0.9	2.6	104
7	5	12.0	4.3	2.8	105
7	5	5.6	2.0	2.8	106
7	5	3.9	1.5	2.5	107
7	5	3.7	1.3	2.9	108
0	5	9.2	2.7	3.3	1
0	5	9.2	2.2	4.2	2
0	5	12.8	3.2	4.0	3
0	5	13.4	4.2	3.2	4
0	5	16.3	4.7	3.4	5
0	5	17.5	4.3	4.0	6
0	5	10.5	3.4	3.0	7
0	5	17.0	5.6	3.0	8
0	5	10.6	2.6	4.0	9
0	5	15.1	4.1	3.7	10
0	5	12.6	3.4	3.7	11
0	5	8.7	2.4	3.6	12
0	5	5.8	1.5	3.9	13
0	5	11.9	3.4	3.5	14
0	5	13.7	3.8	3.6	15
0	5	24.5	7.1	3.4	16
0	5	15.0	5.4	2.8	17
0	5	9.7	3.2	3.1	18
