Especie	Nombre común	Incorporación al CAA	Hábito	Distribución
Acanthosyris falcata	sacha-pera	NO	árbol (perenne)	CH, CR, CS, FS, JJ, SF, ST, TC
Acca sellowiona	falso guayabo/guayabo del país	SI	arbusto o árbol (perenne)	MS
Acrocomia aculeata	coyol, mbocayá, nuez del Paraguay, chunta, chonta	EN PROCESO	palmera	CS, FS, MS, ST
Allophylus edulis	chal chal / cocú	EN PROCESO	arbusto o árbol (perenne)	BA, CH, CM, CR, ER, FS, JJ, MS, SE, SF, ST, TC
Amomyrtus luma	luma	NO	arbusto o árbol (perenne)	CU, NQ, RN
Anisocapparis speciosa	sacha-limón/sacha naranja	NO	arbusto (perenne)	CH, CM, CR, FS, JJ, SE, SF, ST, TC
Annona emarginata	chirimoya, araticú o araticá	EN PROCESO	árbol o arbusto (perenne)	CH, CS, ER, FS, MS, SF
Annona neosalicifolia	chirimoya, araticú o araticá	NO	árbol o arbusto (perenne)	CS, FS, MS
Annona rugulosa	chirimoya, araticú o araticá	NO	arbusto o árbol (perenne)	MS, ST
Araujia odorata	tasi, doca	EN PROCESO	enredadera (perenne)	BA, CM, CH, CR, CS, ER, FS, JJ, LP, LR, MZ, ST, SE, SF, SJ, TC
Aristotelia chilensis	maqui	SI	arbusto o árbol (perenne)	CM, CU, LP, LR, MZ, NQ, RN, SJ, SL
Azara microphylla	chin-chin	NO	arbusto o arbolito (perenne)	CU, NQ, RN
Berberis commutata	uvilla de gente, uvilla grande, palo amarillo	NO	arbusto (perenne)	JJ, ST, TC
Berberis microphylla	calafate	SI	arbusto (perenne)	CU, NQ, RN, SC, TF
Berberis mikuna	mikuna	NO	arbusto (perenne)	CM, ST, TC
Berberis darwinii	michay	SI	arbusto (perenne)	CU, NQ, RN, TF
Berberis serratodentata	agracejo	SI	arbusto (perenne)	CU, NQ, RN
Bromelia balansae	caraguatá	EN PROCESO	hierba (perenne)	CS, ER, FS, MS
Butia yatay	palma yatay/coco yatay	SI	palmera	CH, CS, ER, MS, SF
Campomanesia guazumifolia	siete capotes	SI	arbusto o árbol (perenne)	CS, MS
Campomanesia xanthocarpa	guavirá, guabiraba	SI	arbusto o árbol (perenne)	CS, MS
Capparicordis tweediana	sacha membrillo	NO	arbusto (perenne)	BA, CH, CR, CS, ER, FS, JJ, LR, MS, SE, SF, SJ, ST, TC
Capsicum baccatum	ají kitucho	EN PROCESO	arbusto o árbol (perenne)	CH, CS, FS, JJ, MS, ST, TC
Capsicum chacoense	ají de monte	NO	arbusto o árbol (perenne)	CH, CM, CR, CS, ER, FS, JJ, LP, LR, SE, SF, SJ, SL, ST, TC
Carica papaya	mamón o papaya	SI	árbol (perenne)	CH, CS, FS, MS, ST, TC
Carica quercifolia/Vasconcellea quercifolia	higuera del monte, mamón del monte	EN PROCESO	árbol (perenne)	CH, CM, CS, FS, JJ, MS, SE, SF, ST, TC
Celtis ehrenbergiana	tala	NO	arbusto o árbol (perenne)	BA, CH, CM, CR, ER, FS, LP, LR, MZ, NQ, RN, SE, SF, SJ, SL, ST, TC
Chrysophyllum gonocarpum	aguaí, aguay	NO	árbol (perenne)	CH, CS, ER, FS, JJ, MS, SF, ST, TC
Condalia microphylla	piquillín	SI	arbusto (perenne)	BA, CM, CU, CR, JJ, LP, LR, MZ, RN, SE, SJ, SL, ST, TC
Copernicia alba	palma caranday	NO	palmera	CH, CS, FS, JJ, SE, SF, ST
Cyclanthera pedata	achojcha, achogcha, caigua	EN PROCESO	enredadera anual	JJ, ST
Cynophalla retusa	sacha-poroto	NO	arbusto (perenne)	CH, CS, ER, FS, MS, SF
Eugenia involucrata	cerella	EN PROCESO	árbol (perenne)	CS, MS
Eugenia myrcianthes	ubajay, duraznero del monte	EN PROCESO	arbusto o árbol (perenne)	CH, CS, ER, FS, MS, SF
Eugenia uniflora	ñangapiri/pitanga/arrayán	SI	arbusto o árbol (perenne)	CH, CM, CS, ER, FS, JJ, MS, SF, ST, TC
