FECHA,HORA,TEMP,HUM,PNM,DD,FF,NOMBRE
01012023,NA,22,67,1008,90,19,GUALEGUAYCHU AERO
01012023,NA,22,48,1009,90,9,GUALEGUAYCHU AERO
01012023,NA,23,47,1009,70,9,GUALEGUAYCHU AERO
01012023,NA,24,50,1009,50,7,GUALEGUAYCHU AERO
01012023,1,25,51,1009,50,15,GUALEGUAYCHU AERO
01012023,1,26,51,1009,50,11,GUALEGUAYCHU AERO
01012023,1,27,51,1009,290,11,GUALEGUAYCHU AERO
01012023,1,27,52,1008,230,6,GUALEGUAYCHU AERO
01012023,1,26,52,1009,230,15,GUALEGUAYCHU AERO
01012023,1,21,86,1009,230,11,GUALEGUAYCHU AERO
01012023,1,21,82,1009,230,9,GUALEGUAYCHU AERO
01012023,1,20,92,1008,200,11,GUALEGUAYCHU AERO
01012023,1,20,91,1007,200,11,GUALEGUAYCHU AERO
01012023,1,21,87,1007,200,7,GUALEGUAYCHU AERO
01012023,2,20,88,1008,230,15,GUALEGUAYCHU AERO
01012023,2,20,89,1008,230,6,GUALEGUAYCHU AERO
02012023,NA,16,91,1010,230,22,GUALEGUAYCHU AERO
02012023,NA,16,91,1009,230,26,GUALEGUAYCHU AERO
02012023,NA,18,82,1009,230,26,GUALEGUAYCHU AERO
02012023,NA,19,73,1009,230,30,GUALEGUAYCHU AERO
02012023,1,22,63,1010,230,41,GUALEGUAYCHU AERO
02012023,1,23,48,1010,230,35,GUALEGUAYCHU AERO
02012023,1,25,40,1010,230,35,GUALEGUAYCHU AERO
02012023,1,28,33,1009,230,33,GUALEGUAYCHU AERO
02012023,1,29,25,1009,230,35,GUALEGUAYCHU AERO
02012023,1,30,20,1006,230,37,GUALEGUAYCHU AERO
02012023,1,30,21,1007,230,39,GUALEGUAYCHU AERO
02012023,1,30,19,1007,230,39,GUALEGUAYCHU AERO
02012023,1,30,20,1006,230,28,GUALEGUAYCHU AERO
02012023,1,29,22,1006,230,17,GUALEGUAYCHU AERO
02012023,2,27,35,1006,230,13,GUALEGUAYCHU AERO
02012023,2,24,39,1006,180,7,GUALEGUAYCHU AERO
03012023,NA,17,67,1008,90,6,GUALEGUAYCHU AERO
03012023,NA,18,64,1009,90,7,GUALEGUAYCHU AERO
03012023,NA,19,57,1009,50,7,GUALEGUAYCHU AERO
03012023,NA,23,45,1010,20,11,GUALEGUAYCHU AERO
03012023,1,27,35,1009,360,13,GUALEGUAYCHU AERO
03012023,1,29,29,1009,320,17,GUALEGUAYCHU AERO
03012023,1,30,25,1009,270,20,GUALEGUAYCHU AERO
03012023,1,31,24,1008,230,24,GUALEGUAYCHU AERO
03012023,1,31,22,1008,180,7,GUALEGUAYCHU AERO
03012023,1,32,20,1007,270,19,GUALEGUAYCHU AERO
03012023,1,33,19,1007,230,26,GUALEGUAYCHU AERO
03012023,1,33,21,1006,270,19,GUALEGUAYCHU AERO
03012023,1,32,24,1006,230,15,GUALEGUAYCHU AERO
03012023,1,31,26,1006,230,15,GUALEGUAYCHU AERO
03012023,2,29,29,1007,230,19,GUALEGUAYCHU AERO
03012023,2,27,30,1008,230,11,GUALEGUAYCHU AERO
04012023,NA,17,86,1012,270,4,GUALEGUAYCHU AERO
04012023,NA,19,81,1012,180,4,GUALEGUAYCHU AERO
04012023,NA,21,71,1012,230,4,GUALEGUAYCHU AERO
04012023,NA,24,45,1013,180,4,GUALEGUAYCHU AERO
04012023,1,26,33,1013,140,4,GUALEGUAYCHU AERO
04012023,1,27,26,1013,140,7,GUALEGUAYCHU AERO
04012023,1,29,21,1013,140,7,GUALEGUAYCHU AERO
04012023,1,30,23,1013,180,7,GUALEGUAYCHU AERO
04012023,1,31,23,1013,180,9,GUALEGUAYCHU AERO
04012023,1,30,23,1012,180,19,GUALEGUAYCHU AERO
04012023,1,31,21,1012,180,19,GUALEGUAYCHU AERO
04012023,1,30,22,1012,140,19,GUALEGUAYCHU AERO
04012023,1,30,24,1011,140,9,GUALEGUAYCHU AERO
04012023,1,29,25,1011,180,19,GUALEGUAYCHU AERO
04012023,2,26,35,1012,180,11,GUALEGUAYCHU AERO
04012023,2,24,38,1012,180,11,GUALEGUAYCHU AERO
05012023,NA,15,78,1015,90,6,GUALEGUAYCHU AERO
05012023,NA,17,67,1015,90,6,GUALEGUAYCHU AERO
05012023,NA,20,52,1015,90,9,GUALEGUAYCHU AERO
05012023,NA,22,54,1015,70,15,GUALEGUAYCHU AERO
05012023,1,26,41,1015,50,11,GUALEGUAYCHU AERO
05012023,1,28,26,1015,90,15,GUALEGUAYCHU AERO
05012023,1,30,26,1015,140,15,GUALEGUAYCHU AERO
05012023,1,30,21,1014,140,11,GUALEGUAYCHU AERO
05012023,1,31,22,1014,140,11,GUALEGUAYCHU AERO
05012023,1,32,21,1013,140,15,GUALEGUAYCHU AERO
05012023,1,32,19,1012,140,11,GUALEGUAYCHU AERO
05012023,1,33,14,1012,140,9,GUALEGUAYCHU AERO
05012023,1,33,17,1012,140,9,GUALEGUAYCHU AERO
05012023,1,32,17,1012,140,9,GUALEGUAYCHU AERO
05012023,2,30,19,1012,90,7,GUALEGUAYCHU AERO
05012023,2,27,26,1012,140,6,GUALEGUAYCHU AERO
06012023,NA,21,67,1015,90,4,GUALEGUAYCHU AERO
06012023,NA,21,69,1015,90,7,GUALEGUAYCHU AERO
06012023,NA,22,72,1017,70,13,GUALEGUAYCHU AERO
06012023,NA,26,56,1016,50,19,GUALEGUAYCHU AERO
06012023,1,28,48,1016,50,19,GUALEGUAYCHU AERO
06012023,1,31,41,1016,50,19,GUALEGUAYCHU AERO
06012023,1,33,33,1016,50,28,GUALEGUAYCHU AERO
06012023,1,34,26,1015,70,19,GUALEGUAYCHU AERO
06012023,1,35,24,1015,90,15,GUALEGUAYCHU AERO
06012023,1,35,21,1014,70,15,GUALEGUAYCHU AERO
06012023,1,35,21,1014,70,15,GUALEGUAYCHU AERO
06012023,1,35,23,1013,50,13,GUALEGUAYCHU AERO
06012023,1,35,21,1013,70,11,GUALEGUAYCHU AERO
06012023,1,35,22,1013,90,9,GUALEGUAYCHU AERO
06012023,2,32,28,1013,90,9,GUALEGUAYCHU AERO
06012023,2,30,30,1014,90,7,GUALEGUAYCHU AERO
07012023,NA,21,66,1018,90,4,GUALEGUAYCHU AERO
07012023,NA,21,65,1018,90,4,GUALEGUAYCHU AERO
07012023,NA,23,54,1019,90,7,GUALEGUAYCHU AERO
07012023,NA,25,49,1019,50,7,GUALEGUAYCHU AERO
07012023,1,26,45,1019,50,15,GUALEGUAYCHU AERO
07012023,1,28,40,1019,50,15,GUALEGUAYCHU AERO
07012023,1,30,37,1019,90,15,GUALEGUAYCHU AERO
07012023,1,32,31,1019,90,11,GUALEGUAYCHU AERO
07012023,1,34,27,1016,140,13,GUALEGUAYCHU AERO
07012023,1,34,25,1016,140,15,GUALEGUAYCHU AERO
07012023,1,34,25,1015,140,15,GUALEGUAYCHU AERO
07012023,1,34,21,1015,140,17,GUALEGUAYCHU AERO
07012023,1,33,27,1014,140,13,GUALEGUAYCHU AERO
07012023,2,31,31,1015,90,9,GUALEGUAYCHU AERO
07012023,2,28,33,1015,90,6,GUALEGUAYCHU AERO
08012023,NA,21,74,1017,50,13,GUALEGUAYCHU AERO
08012023,NA,22,74,1018,70,13,GUALEGUAYCHU AERO
08012023,NA,23,65,1019,70,20,GUALEGUAYCHU AERO
08012023,NA,25,59,1019,70,26,GUALEGUAYCHU AERO
08012023,1,27,52,1019,50,28,GUALEGUAYCHU AERO
08012023,1,29,46,1018,50,24,GUALEGUAYCHU AERO
08012023,1,31,41,1018,50,24,GUALEGUAYCHU AERO
08012023,1,32,37,1017,90,20,GUALEGUAYCHU AERO
08012023,1,33,33,1016,90,20,GUALEGUAYCHU AERO
08012023,1,33,32,1016,110,22,GUALEGUAYCHU AERO
08012023,1,34,27,1015,110,24,GUALEGUAYCHU AERO
08012023,1,33,29,1014,140,19,GUALEGUAYCHU AERO
08012023,1,33,29,1013,140,17,GUALEGUAYCHU AERO
08012023,1,32,28,1013,140,11,GUALEGUAYCHU AERO
08012023,2,31,29,1013,90,7,GUALEGUAYCHU AERO
08012023,2,29,30,1013,90,6,GUALEGUAYCHU AERO
09012023,NA,20,78,1014,90,4,GUALEGUAYCHU AERO
09012023,NA,21,74,1014,90,4,GUALEGUAYCHU AERO
09012023,NA,23,66,1014,90,11,GUALEGUAYCHU AERO
09012023,NA,25,60,1014,90,11,GUALEGUAYCHU AERO
09012023,1,27,52,1014,90,11,GUALEGUAYCHU AERO
09012023,1,29,45,1014,90,13,GUALEGUAYCHU AERO
09012023,1,31,39,1013,140,13,GUALEGUAYCHU AERO
09012023,1,32,33,1013,140,13,GUALEGUAYCHU AERO
09012023,1,33,27,1012,90,17,GUALEGUAYCHU AERO
09012023,1,33,27,1011,90,17,GUALEGUAYCHU AERO
09012023,1,34,26,1010,90,19,GUALEGUAYCHU AERO
09012023,1,34,25,1009,90,17,GUALEGUAYCHU AERO
09012023,1,34,26,1009,70,15,GUALEGUAYCHU AERO
09012023,1,33,27,1009,90,15,GUALEGUAYCHU AERO
09012023,2,31,33,1009,90,11,GUALEGUAYCHU AERO
09012023,2,28,48,1009,140,7,GUALEGUAYCHU AERO
10012023,NA,21,68,1011,90,4,GUALEGUAYCHU AERO
10012023,NA,22,69,1011,90,4,GUALEGUAYCHU AERO
10012023,NA,24,65,1011,50,4,GUALEGUAYCHU AERO
10012023,NA,26,57,1011,50,7,GUALEGUAYCHU AERO
10012023,1,28,51,1011,50,11,GUALEGUAYCHU AERO
10012023,1,31,40,1011,360,11,GUALEGUAYCHU AERO
10012023,1,34,32,1009,360,13,GUALEGUAYCHU AERO
10012023,1,34,27,1009,270,13,GUALEGUAYCHU AERO
10012023,1,34,26,1009,230,11,GUALEGUAYCHU AERO
10012023,1,35,25,1008,360,11,GUALEGUAYCHU AERO
10012023,1,37,22,1008,360,11,GUALEGUAYCHU AERO
10012023,1,35,22,1007,90,13,GUALEGUAYCHU AERO
10012023,1,35,21,1007,90,13,GUALEGUAYCHU AERO
10012023,1,34,22,1006,180,13,GUALEGUAYCHU AERO
10012023,2,32,35,1006,180,4,GUALEGUAYCHU AERO
10012023,2,29,43,1006,180,4,GUALEGUAYCHU AERO
11012023,NA,22,69,1007,90,6,GUALEGUAYCHU AERO
11012023,NA,22,69,1008,140,6,GUALEGUAYCHU AERO
11012023,NA,24,62,1009,270,15,GUALEGUAYCHU AERO
11012023,NA,26,59,1009,230,22,GUALEGUAYCHU AERO
11012023,1,28,51,1009,230,22,GUALEGUAYCHU AERO
11012023,1,29,48,1009,230,22,GUALEGUAYCHU AERO
11012023,1,27,54,1010,230,30,GUALEGUAYCHU AERO
11012023,1,24,77,1011,230,9,GUALEGUAYCHU AERO
11012023,1,23,85,1010,230,15,GUALEGUAYCHU AERO
11012023,1,24,76,1009,230,19,GUALEGUAYCHU AERO
11012023,1,24,70,1009,230,15,GUALEGUAYCHU AERO
11012023,1,23,76,1009,230,15,GUALEGUAYCHU AERO
11012023,1,25,63,1008,230,11,GUALEGUAYCHU AERO
11012023,1,25,63,1008,230,11,GUALEGUAYCHU AERO
11012023,2,24,66,1008,230,6,GUALEGUAYCHU AERO
11012023,2,22,75,1009,230,6,GUALEGUAYCHU AERO
12012023,NA,15,94,1009,270,4,GUALEGUAYCHU AERO
12012023,NA,16,97,1009,230,6,GUALEGUAYCHU AERO
12012023,NA,20,91,1009,270,6,GUALEGUAYCHU AERO
12012023,NA,23,78,1010,180,7,GUALEGUAYCHU AERO
12012023,1,24,74,1010,180,9,GUALEGUAYCHU AERO
12012023,1,25,63,1010,200,9,GUALEGUAYCHU AERO
12012023,1,26,60,1010,180,11,GUALEGUAYCHU AERO
12012023,1,28,49,1009,180,11,GUALEGUAYCHU AERO
12012023,1,29,40,1008,140,11,GUALEGUAYCHU AERO
12012023,1,30,32,1008,140,19,GUALEGUAYCHU AERO
12012023,1,30,32,1008,180,15,GUALEGUAYCHU AERO
12012023,1,29,33,1007,180,11,GUALEGUAYCHU AERO
12012023,1,28,39,1006,180,15,GUALEGUAYCHU AERO
12012023,1,28,40,1006,180,15,GUALEGUAYCHU AERO
12012023,2,26,45,1007,180,11,GUALEGUAYCHU AERO
12012023,2,25,47,1008,180,7,GUALEGUAYCHU AERO
13012023,NA,16,81,1009,230,4,GUALEGUAYCHU AERO
13012023,NA,17,77,1010,230,4,GUALEGUAYCHU AERO
13012023,NA,22,57,1010,180,4,GUALEGUAYCHU AERO
13012023,NA,25,49,1010,230,4,GUALEGUAYCHU AERO
13012023,1,27,42,1010,230,4,GUALEGUAYCHU AERO
13012023,1,28,34,1010,230,7,GUALEGUAYCHU AERO
13012023,1,29,28,1009,230,7,GUALEGUAYCHU AERO
13012023,1,29,27,1010,230,11,GUALEGUAYCHU AERO
13012023,1,30,24,1008,180,11,GUALEGUAYCHU AERO
13012023,1,30,23,1008,180,13,GUALEGUAYCHU AERO
13012023,1,30,20,1008,230,13,GUALEGUAYCHU AERO
13012023,1,31,18,1008,230,9,GUALEGUAYCHU AERO
