TEMP	ID	basal	3	7	10	14
5	1	61.95	69.92	72.54	71.40	65.77
5	2	68.58	66.92	61.91	69.80	73.74
5	3	64.27	63.58	64.81	61.12	64.51
5	4	66.49	67.92	68.98	68.77	68.22
5	5	54.81	60.74	70.49	60.93	57.64
5	6	56.86	55.27	63.27	63.06	
5	7	65.78	69.55	70.38	76.50	73.70
5	8	64.93	63.56	68.97	69.01	67.07
5	9	58.35	53.15	74.83	58.48	
5	10	57.67	61.72	58.67	58.84	58.72
5	11	66.92	67.19	74.41	70.61	68.09
5	12	61.18	54.44	63.22	56.99	58.07
5	13	60.12	58.32	69.78	61.91	
5	14	59.83	54.16	64.32	62.40	58.01
5	15	60.36	56.00	72.04	63.69	
5	16	58.68	57.36	64.78	62.15	
5	17	58.70	57.94	67.44	63.07	63.17
5	18	59.49	56.17	66.62	60.00	67.48
5	19	68.67	68.31	66.46	68.23	67.68
5	20	63.65	65.80	71.04	67.38	66.35
5	21	60.46	57.52	66.94	69.91	62.76
5	22	59.00	59.23	68.08	61.16	58.18
5	23	57.88	57.46	68.56	63.26	67.69
5	24	46.44	60.39	71.72	55.31	57.48
5	25	65.56	62.76	76.75	74.63	74.28
5	26	69.58	72.29	70.07	66.71	
5	27	68.42	65.66	67.63	66.76	67.80
5	28	57.53	56.07	70.70	64.86	68.99
5	29	64.41	54.94	68.15	70.72	68.58
5	30	62.07	55.29	62.12	67.76	65.71
5	31	55.90	66.10	69.30	71.99	69.31
5	32	62.81	50.04	63.57	58.23	67.20
5	33	59.99	55.90	69.40	64.65	65.65
5	34	67.10	67.57	69.18	66.80	74.89
5	35	64.22	65.92	73.68	69.48	71.95
5	36	66.68	67.25	70.44	74.79	74.44
5	37	55.52	57.72	69.74	61.26	61.77
5	38	62.00	60.32	74.89	74.52	70.76
5	39	67.79	62.70	70.72	62.78	65.75
5	40	58.75	60.92	65.18	64.47	71.13
5	41	64.95	68.15	71.16	68.62	70.10
5	42	66.62	64.34	75.74	72.70	62.48
5	43	64.80	60.57	74.94	68.35	74.05
5	44	63.24	62.03	70.12	76.92	66.36
5	45	64.03	61.43	73.19	68.07	57.99
5	46	65.07	64.77	67.59	72.65	71.65
5	47	67.66	64.66	72.14	73.35	68.16
5	48	66.16	67.75	73.44	64.07	68.31
5	49	66.97	63.48	66.92		71.41
5	50	59.83	58.25	68.66		
9	51	54.67	57.19	73.09	64.494	57.96
9	52	53.51	57.61	75.57	72.440	70.27
9	53	66.34	68.71	75.00		
9	54	64.51	64.64	71.60	72.728	71.49
9	55	68.52	71.02	75.31	71.005	
9	56	55.29	60.79	67.99		
9	57	60.19	61.00	58.09	69.455	67.46
9	58	66.67	66.64	68.49	73.662	68.41
9	59	65.47	66.80	70.21		
9	60	69.25	70.09	71.18		
9	61	61.85	63.70	72.09		
9	62	56.22	53.19	76.87	70.551	67.80
9	63	60.40	60.61	76.92	69.739	69.73
9	64	56.95	59.57	73.43		
9	65	63.87	66.00	74.29		
9	66	63.64	67.87	76.32		
9	67	65.89	65.93	68.44	73.753	72.75
9	68	45.23	55.56	70.55		
9	69	69.24	68.80	68.77		
9	70	55.99	58.28	72.75		
9	71	59.04	54.37	70.79	71.136	64.96
9	72	55.08	58.64	66.79	65.604	61.66
9	73	56.28	57.23	68.94	64.800	65.59
9	74	69.93	65.58	64.99		
9	75	64.31	65.39	73.30	70.170	65.25
9	76	66.08	68.33	67.95	74.895	70.52
9	77	67.85	65.58	68.96	66.902	66.74
9	78	65.14	65.79	73.83		
9	79	67.71	65.78	70.27	68.036	
9	80	65.17	63.57	68.23	66.421	65.08
9	81	58.61	56.11	75.14		
9	82	53.14	52.09	70.38	63.058	74.21
9	83	58.38	52.09	71.05	73.604	70.52
9	84	58.94	61.65	68.98	63.801	61.29
9	85	62.33	64.62	68.24		
9	86	60.61	66.32	73.69		
9	87	63.50	64.82	71.15	67.230	65.23
9	88	63.88	66.00	71.52		
9	89	63.51	59.35	65.72	73.546	68.96
9	90	65.75	66.29	79.29		
9	91	59.38	57.80	73.64		
9	92	62.06	64.98	74.84		
9	93	68.58	73.66	67.03		
9	94	48.90	49.12	60.48	67.139	60.45
9	95	65.64	66.48	64.96		
9	96	62.48	58.18	73.94		
9	97	52.74	55.88	63.13	71.611	
9	98	62.47	64.70	70.90	67.322	63.99
9	99	63.54	62.58	64.07	70.270	67.92
9	100	69.11	64.80	66.83		
