TEMP	ID	basal	3	7	10	14
5	1	13.128	12.846	12.64	12.4	12.127
5	2	14.532	14.302	14.164	13.94	13.121
5	3	11.818	11.631	11.483	11.304	11.121
5	4	12.159	11.89	11.695	11.324	11.027
5	5	17.422	17.134	16.863	16.526	16.22
5	6	11.022	10.822	10.647	10.369	
5	7	11.238	11.12	10.986	10.858	10.7
5	8	12.657	12.555	12.464	12.291	12.118
5	9	12.849	12.537	12.234	11.956	
5	10	11.545	11.221	11.034	10.745	10.494
5	11	10.497	10.156	9.95	9.708	9.465
5	12	18.522	18.063	17.672	17.193	16.636
5	13	12.446	12.114	11.888	11.564	
5	14	12.147	11.975	11.786	11.568	11.355
5	15	9.608	9.428	9.269	9.067	
5	16	13.155	12.937	12.707	12.402	
5	17	9.451	9.252	9.093	8.892	8.715
5	18	12.61	12.453	12.269	12.017	11.796
5	19	13.114	12.873	12.588	12.259	11.959
5	20	9.493	9.311	9.171	8.904	8.689
5	21	15.664	15.213	14.967	14.613	14.267
5	22	14.249	13.963	13.815	13.583	13.367
5	23	16.072	15.811	15.696	15.454	15.239
5	24	12.644	12.418	12.219	11.953	11.714
5	25	13.875	13.712	13.576	13.395	13.219
5	26	9.534	9.379	9.19	8.99	
5	27	17.395	17.11	16.967	16.542	16.192
5	28	15.125	14.866	14.671	14.435	14.241
5	29	13.346	13.103	12.943	12.737	12.507
5	30	15.098	14.783	14.634	14.315	14.05
5	31	18.56	18.049	17.625	17.167	16.636
5	32	19.573	19.292	19.094	18.738	18.374
5	33	10.641	10.551	10.427	10.301	10.161
5	34	15.268	15.032	14.933	14.679	14.449
5	35	16.279	16.077	15.955	15.73	15.553
5	36	14.425	14.217	14.038	13.768	13.525
5	37	16.619	16.409	16.149	15.879	15.614
5	38	16.188	16.029	15.878	15.645	15.45
5	39	10.288	9.991	9.79	9.562	9.346
5	40	14.79	14.596	14.395	14.204	13.971
5	41	13.558	13.385	13.269	13.09	12.911
5	42	14.638	14.241	13.988	13.577	13.158
5	43	15.591	15.41	15.293	15.048	14.828
5	44	14.226	14.004	13.808	13.507	13.239
5	45	15.082	14.733	14.426	14.01	13.572
5	46	16.963	16.76	16.624	16.395	16.128
5	47	14.134	13.803	13.588	13.252	12.938
5	48	10.077	9.879	9.704	9.471	9.225
5	49	15.91	15.751	15.585	15.394	15.194
5	50	19.375	19.151	18.88	18.621	
9	51	13.929	13.395	13.24	12.863	12.609
9	52	6.663	6.489	6.420	6.246	6.115
9	53	14.601	14.3	14.139		
9	54	13.483	13.223	13.125	12.911	12.763
9	55	13.456	13.102	12.930	12.715	
9	56	15.193	14.783	14.532		
9	57	10.61	10.456	10.390	10.193	9.993
9	58	11.963	11.726	11.651	11.414	11.247
9	59	31.402	30.9	30.768		
9	60	18.357	18.148	18.066		
9	61	13.932	13.411	13.313		
9	62	13.899	13.583	13.441	13.206	12.964
9	63	11.287	10.858	10.738	10.53	10.3
9	64	21.276	20.997	20.887		
9	65	12.095	11.84	11.770		
9	66	11.908	11.684	11.593		
9	67	12.072	11.863	11.764	11.576	11.394
9	68	18.622	18.008	17.854		
9	69	13.112	12.79	12.734		
9	70	10.579	10.209	10.158		
9	71	13.446	13.233	13.174	12.935	12.759
9	72	9.709	9.442	9.367	9.124	8.967
9	73	13.547	13.234	13.123	12.88	12.665
9	74	16.392	16.129	16.068		
9	75	14.885	14.593	14.510	14.173	13.938
9	76	17.967	17.615	17.570	17.286	17.035
9	77	14.756	14.095	14.021	13.609	13.341
9	78	23.192	22.786	22.705		
9	79	10.671	10.296	10.232	9.926	
9	80	15.304	14.905	14.835	14.283	13.921
9	81	14.219	13.829	13.742		
9	82	22.352	21.93	21.788	21.334	20.891
9	83	13.858	13.628	13.508	13.287	13.067
9	84	9.268	8.84	8.773	8.466	8.259
9	85	14.841	14.36	14.156		
9	86	11.196	10.908	10.837		
9	87	10.746	10.378	10.305	10.063	9.852
9	88	13.169	12.805	12.756		
9	89	15.801	15.459	15.385	15.161	14.932
9	90	14.416	14.152	14.027		
9	91	10.327	10.012	9.944		
9	92	27.894	27.477	27.414		
9	93	19.244	18.914	18.807		
9	94	14.385	13.992	13.936	13.709	13.429
9	95	18.116	17.746	17.639		
9	96	12.637	12.445	12.413		
9	97	14.88	14.653	14.611	14.422	
9	98	9.307	8.883	8.729	8.518	8.318
9	99	12.248	12.01	11.949	11.705	11.523
9	100	15.021	14.491	14.383		
