DIA	FECHA	TEMP	ID	PESO	L	a	b	C	T	DE	DP	E
0	9/11/2021	5	1	13.128	61.95	-13.39	56.97	58.52	103.23	30.62	35.69	1
0	9/11/2021	5	2	14.532	68.58	-14.73	58.20	60.03	104.20	32.01	32.79	1
0	9/11/2021	5	3	11.818	64.27	-16.43	48.75	51.44	108.63	29.56	33.64	1
0	9/11/2021	5	4	12.159	66.49	-10.85	58.97	59.96	100.43	30.8	31.21	1
0	9/11/2021	5	5	17.422	54.81	-13.52	44.82	46.82	106.79	33.68	39.28	1
0	9/11/2021	5	6	11.022	56.86	-14.94	45.96	48.32	108.01	29	28.72	1
0	9/11/2021	5	7	11.238	65.78	-14.89	58.53	60.39	104.28	30.24	27.93	1
0	9/11/2021	5	8	12.657	64.93	-16.95	47.98	50.88	109.46	31.48	34.31	1
0	9/11/2021	5	9	12.849	58.35	-8.43	48.09	48.82	99.94	30.67	32.45	1
0	9/11/2021	5	10	11.545	57.67	-11.27	52.86	54.04	102.04	28.75	34.41	1
0	9/11/2021	5	11	10.497	66.92	-11.85	51.58	52.92	102.94	27.67	30.65	1
0	9/11/2021	5	12	18.522	61.18	-6.48	54.33	54.72	96.81	38.29	29.87	1
0	9/11/2021	5	13	12.446	60.12	-7.37	53.00	53.51	97.92	29.55	35.88	1
0	9/11/2021	5	14	12.147	59.83	-13.45	49.88	51.66	105.09	30.07	34.9	1
0	9/11/2021	5	15	9.608	60.36	-5.58	51.09	51.39	96.23	29.54	24.67	1
0	9/11/2021	5	16	13.155	58.68	-7.98	49.70	50.34	99.12	31.08	29.81	1
0	9/11/2021	5	17	9.451	58.70	-10.03	48.64	49.66	101.65	27.99	29.31	1
0	9/11/2021	5	18	12.61	59.49	-12.49	47.52	49.13	104.73	33.32	26.72	1
0	9/11/2021	5	19	13.114	68.67	-12.43	56.56	57.91	102.39	32.12	31.25	1
0	9/11/2021	5	20	9.493	63.65	-15.80	53.70	55.97	106.39	28.35	27.89	1
0	9/11/2021	5	21	15.664	60.46	-15.87	50.22	52.67	107.53	33.4	36.64	1
0	9/11/2021	5	22	14.249	59.00	-13.51	50.37	52.15	105.02	30.97	38.71	1
0	9/11/2021	5	23	16.072	57.88	-15.09	47.12	49.47	107.76	32.14	38.08	1
0	9/11/2021	5	24	12.644	46.44	-12.91	32.45	34.92	111.70	34.1	28.11	1
0	9/11/2021	5	25	13.875	65.56	-13.72	54.67	56.37	104.09	31.93	33.87	1
0	9/11/2021	5	26	9.534	69.58	-15.02	55.03	57.04	105.26	27.87	30.38	1
0	9/11/2021	5	27	17.395	68.42	-9.40	56.75	57.52	99.40	33.72	33.57	1
0	9/11/2021	5	28	15.125	57.53	-12.91	47.69	49.40	105.15	35.61	31.34	1
0	9/11/2021	5	29	13.346	64.41	-12.76	56.97	58.38	102.63	32.55	35.45	1
0	9/11/2021	5	30	15.098	62.07	-16.04	49.13	51.68	108.08	30.9	38.21	1
0	9/11/2021	5	31	18.56	55.90	-13.68	42.76	44.89	107.74	36.33	34.86	1
0	9/11/2021	5	32	19.573	62.81	-12.56	51.43	52.94	103.72	36.04	35.4	1
0	9/11/2021	5	33	10.641	59.99	-20.78	47.29	51.65	113.72	29.22	31.39	1
0	9/11/2021	5	34	15.268	67.10	-14.66	54.82	56.75	104.98	32.23	33.58	1
0	9/11/2021	5	35	16.279	64.22	-16.57	55.38	57.80	106.66	33.15	36.64	1
0	9/11/2021	5	36	14.425	66.68	-9.95	57.95	58.80	99.74	32.5	34.88	1
