DIA	TEMP	FU	DI	GR	PI
0	Inicial	7.7	2.8	2.7	5
0	Inicial	11.1	2.3	4.8	4
0	Inicial	2.6	2.7	0.9	2
0	Inicial	3.3	4.2	0.8	2
0	Inicial	4.8	2.4	2.0	1
0	Inicial	6.4	3.2	2.0	3
0	Inicial	6.0	3.1	1.9	2
0	Inicial	3.9	4.3	0.9	2
0	Inicial	4.5	2.1	2.1	3
0	Inicial	4.5	2.2	2.0	5
0	Inicial	3.4	2.4	1.4	3
0	Inicial	7.1	2.4	2.9	3
0	Inicial	3.0	4.7	0.6	2
0	Inicial	4.5	2.5	1.7	4
0	Inicial	7.4	3.6	2.0	3
0	Inicial	4.3	2.0	2.1	8
0	Inicial	4.2	3.1	1.3	2
0	Inicial	9.6	2.4	3.9	6
0	Inicial	3.9	1.6	2.3	2
0	Inicial	2.7	2.5	1.1	3
14	5	2.8	4.8	0.6	1
14	5	1.8	3.1	0.6	2
14	5	0.7	0.5	1.4	2
14	5	1.1	3.0	0.3	1
14	5	2.4	4.0	0.6	0
14	5	1.2	2.9	0.4	0
14	5	2.9	4.1	0.7	1
14	5	4.0	3.3	1.2	0
14	5	1.9	1.6	1.2	1
14	5	1.4	3.9	0.4	0
14	5	2.0	3.2	0.6	0
14	5	2.3	4.3	0.5	0
14	5	1.1	2.6	0.4	0
14	5	2.0	3.0	0.7	0
14	5	1.7	3.3	0.5	1
14	5	1.9	4.2	0.4	1
14	5	1.3	3.7	0.3	0
14	5	3.1	3.3	0.9	0
14	5	1.5	3.8	0.4	0
14	5	2.0	5.4	0.4	0
14	5	1.6	4.0	0.4	0
14	5	1.9	4.2	0.4	0
14	5	3.0	3.6	0.8	0
14	5	2.3	4.5	0.5	0
14	9	2.5	0.1	2.4	0
14	9	1.7	3.2	0.5	0
14	9	2.0	3.5	0.6	0
14	9	1.1	2.9	0.3	1
14	9	1.2	3.7	0.3	0
14	9	1.9	4.6	0.4	0
14	9	0.7	2.2	0.3	0
14	9	1.7	3.9	0.4	1
14	9	1.2	2.4	0.4	2
14	9	1.3	2.6	0.5	0
14	9	0.9	2.7	0.3	0
14	9	1.4	4.9	0.3	0
14	9	1.9	4.4	0.4	0
14	9	1.1	3.2	0.3	1
14	9	1.1	5.3	0.2	0
14	9	1.3	2.2	0.6	0
14	9	0.9	0.7	1.1	2
14	9	1.2	4.1	0.3	0
14	9	1.3	2.8	0.4	0
14	9	1.1	3.5	0.3	0
14	9	0.9	0.8	1.1	1
