TEMP	ID	basal	3	7	10	14
5	1	-13.39	-7.83	-7.84	1.79	4.81
5	2	-14.73	-9.36	-1.80	-4.52	-1.70
5	3	-16.43	-14.18	-8.84	-8.37	-2.89
5	4	-10.85	-4.30	-4.82	-1.17	2.06
5	5	-13.52	-12.15	0.39	-6.76	-2.39
5	6	-14.94	-12.01	-10.47	-5.32	
5	7	-14.89	-9.34	-2.10	1.34	3.83
5	8	-16.95	-16.55	0.12	-10.71	-13.31
5	9	-8.43	-5.12	0.86	-0.53	
5	10	-11.27	-6.35	-10.29	2.10	0.54
5	11	-11.85	-5.13	2.35	2.19	1.25
5	12	-6.48	-7.66	0.34	-7.65	-5.14
5	13	-7.37	-4.83	-0.77	1.17	
5	14	-13.45	-10.31	-7.86	-5.48	-2.18
5	15	-5.58	-4.60	-5.43	-3.84	
5	16	-7.98	-1.43	-4.05	0.63	
5	17	-10.03	-6.27	-10.51	-1.32	-1.42
5	18	-12.49	-9.86	-8.58	1.02	-0.33
5	19	-12.43	-5.97	-5.07	-1.36	0.51
5	20	-15.80	-11.70	-2.50	-4.81	-2.16
5	21	-15.87	-14.74	-2.79	1.07	0.22
5	22	-13.51	-10.08	-4.44	-1.74	-0.16
5	23	-15.09	-11.90	-11.64	-2.71	2.88
5	24	-12.91	-14.09	-4.53	-10.68	-8.77
5	25	-13.72	-11.05	-9.29	-3.14	-1.10
5	26	-15.02	-13.23	-2.34	-1.88	
5	27	-9.40	-6.84	-4.26	-2.32	4.29
5	28	-12.91	-11.13	-4.21	-6.90	0.27
5	29	-12.76	-9.91	-7.76	2.29	5.78
5	30	-16.04	-8.51	3.55	-4.07	-0.26
5	31	-13.68	-9.26	-10.00	3.81	2.29
5	32	-12.56	-11.66	-3.27	-3.79	5.56
5	33	-20.78	-20.06	-2.11	-3.73	-10.47
5	34	-14.66	-11.16	-5.43	-15.32	1.69
5	35	-16.57	-11.24	-9.58	-1.52	-0.98
5	36	-9.95	-5.31	0.69	-1.26	5.66
5	37	-11.18	-6.28	2.15	-1.50	3.71
5	38	-14.50	-10.32	-5.91	1.41	4.75
5	39	-13.71	-11.51	-2.79	-4.85	0.16
5	40	-12.83	-10.03	-6.66	-2.44	1.34
5	41	-17.49	-14.51	-6.97	-3.38	3.29
5	42	-11.16	-10.22	-9.18	-2.84	0.78
5	43	-17.73	-16.20	-6.55	-8.23	-1.78
5	44	-14.55	-10.60	0.80	-2.18	2.71
5	45	-11.72	-7.39	-2.26	2.47	1.20
5	46	-16.16	-12.90	-6.52	-2.64	-1.24
5	47	-8.32	-7.33	1.47	-1.98	6.71
5	48	-8.76	-10.14	-3.02	-1.82	-2.63
5	49	-13.65	-10.69	-16.40		3.43
5	50	-9.71	-5.31	-2.19		
9	51	-10.55	-4.90	0.82	5.935	6.18
9	52	-15.73	-12.94	-2.16	6.639	11.99
9	53	-14.66	-9.85	-2.03		
9	54	-15.65	-12.03	-2.59	4.308	8.31
9	55	-16.17	-10.53	-7.37	6.338	
9	56	-16.75	-8.97	-8.14		
9	57	-15.25	-12.40	-0.74	4.941	11.95
9	58	-14.56	-9.67	2.86	4.196	8.43
9	59	-14.10	-8.94	0.17		
9	60	-14.65	-9.60	-1.07		
9	61	-14.43	-10.45	-0.77		
9	62	-16.85	-15.45	0.61	2.279	8.27
9	63	-14.06	-9.10	1.21	6.188	11.61
9	64	-15.33	-10.73	-0.04		
9	65	-16.12	-9.97	-3.13		
9	66	-8.58	-2.90	-0.58		
9	67	-14.44	-12.30	11.44	6.296	10.17
9	68	-3.47	1.41	0.60		
9	69	-16.64	-13.34	7.88		
9	70	-16.68	-11.22	4.81		
9	71	-16.36	-14.55	3.34	-2.702	3.41
9	72	-11.16	-4.79	1.37	10.431	14.36
9	73	-17.19	-14.03	-1.57	-0.537	4.91
9	74	-13.50	-8.90	7.25		
9	75	-12.20	-5.95	0.21	9.497	13.18
9	76	-14.04	-8.77	6.34	6.170	10.23
9	77	-9.00	-7.99	0.77	7.603	10.74
9	78	-12.72	-5.68	1.50		
9	79	-8.49	-1.67	-2.18	8.556	
9	80	-7.23	-0.70	0.87	8.804	10.73
9	81	-14.21	-11.95	1.91		
9	82	-14.46	-12.22	3.03	-5.784	2.05
9	83	-17.01	-14.14	2.58	2.022	7.25
9	84	-9.76	-10.57	-2.67	3.132	4.90
9	85	-11.38	-5.50	3.84		
9	86	-15.73	-12.59	3.44		
9	87	-13.33	-7.66	2.80	8.519	12.44
9	88	-14.26	-9.05	-1.85		
9	89	-16.98	-13.15	-5.27	2.474	7.23
9	90	-13.61	-8.15	-2.06		
9	91	-14.70	-8.45	-1.59		
9	92	-15.64	-7.57	-6.01		
9	93	-16.34	-8.86	1.66		
9	94	-16.65	-15.02	2.96	-4.143	-0.95
9	95	-11.54	-3.32	-0.92		
9	96	-16.99	-11.07	-4.60		
9	97	-14.01	-7.72	-1.82	4.105	
9	98	-12.76	-6.55	-8.20	5.954	9.30
9	99	-11.47	-3.84	-4.37	7.236	8.79
9	100	-9.56	-4.14	0.27		
