MAD	Tartárico	Málico	Quínico	Succinico	ACIDS	ATT
I	0	26.32895262	0	109.8205124	136.149465	1.72
I	0	40.26042433	0	110.09793	150.3583543	1.82
I	0	68.11702469	1.321990362	117.0820167	186.5210317	1.80
M	0	102.2735386	25.49988454	94.29765047	222.0710736	1.59
M	0	109.141085	21.18375215	99.12974847	229.4545856	1.59
M	0	104.0278454	21.38278838	104.8843208	230.2949546	1.64
MM	0	94.94396969	27.07872916	97.6757055	219.6984044	2.06
MM	0	89.08291322	27.59431998	92.47226161	209.1494948	1.68
MM	0	86.54171218	21.27976995	87.29680958	195.1182917	1.74
SM	1.405739654	85.22601323	23.31480814	130.7285641	240.6751251	1.31
SM	0.414768493	90.4971392	26.42971348	103.8367913	221.1784125	1.38
SM	1.002899078	78.6606447	19.01675215	112.4000989	211.0803948	1.47
