YEAR	REG	ACC	id	vol	phi	ph7	ph8	ac	ratio	brix	mad
2019	Concordia	154	1	1.00	3.48	2.70	3.10	1.98	6.35	12.6	M
2019	Concordia	154	2	2.00	3.36	4.80	5.20	1.66	6.91	11.5	M
2019	Concordia	154	3	2.00	3.35	6.00	6.90	2.21	3.76	8.3	M
2019	Concordia	154	4	2.00	3.36	4.40	4.70	1.50	5.45	8.2	M
2019	Concordia	156	1	1.00	3.41	3.00	3.10	1.98	3.83	7.6	M
2019	Concordia	156	2	2.00	3.36	5.00	5.20	1.66	4.93	8.2	M
2019	Concordia	156	3	2.00	3.14	5.30	5.50	1.76	3.35	5.9	M
2019	Concordia	161	1	1.00	3.45	4.50	4.70	3.01	3.19	9.6	M
2019	Concordia	161	2	1.00	3.76	1.50	1.70	1.09	6.07	6.6	M
2019	Concordia	161	3	2.00	4.09	3.50	4.00	1.28	6.09	7.8	M
2019	Concordia	161	4	2.00	3.57	6.90	7.20	2.30	3.91	9.0	M
2019	Concordia	171	1	1.00	3.34	5.20	5.50	3.52	3.75	13.2	M
2019	Concordia	171	2	2.00	3.40	5.90	6.20	1.98	6.00	11.9	M
2019	Concordia	171	3	2.00	3.30	6.70	7.00	2.24	4.33	9.7	M
2019	Concordia	171	4	3.00	3.60	9.20	9.70	2.07	3.91	8.1	M
2019	Concordia	174	1	2.00	3.29	6.50	6.80	2.18	3.68	8.0	M
2019	Concordia	174	2	3.00	3.49	6.30	6.70	1.43	4.10	5.9	M
2019	Concordia	174	3	3.00	3.48	6.40	6.70	1.43	4.80	6.9	M
2019	Concordia	174	4	3.00	3.27	10.70	11.00	2.35	3.00	7.0	M
2019	Concordia	175	3	0.75	3.47	1.40	1.53	1.31	6.31	8.2	I
2019	Concordia	178	1	2.00	3.28	5.10	5.50	1.76	7.86	13.8	M
2019	Concordia	178	2	1.00	3.63	1.00	1.20	0.77	15.28	11.7	I
2019	Concordia	178	3	2.00	3.00	8.00	8.40	2.69	4.25	11.4	M
2019	Concordia	178	4	3.00	3.05	8.00	8.30	1.77	5.03	8.9	M
2019	Concordia	185	1	2.00	3.68	1.20	1.60	0.51	5.92	3.0	I
2019	Concordia	185	2	1.00	3.54	1.78	1.97	1.26	9.36	11.8	I
2019	Concordia	185	3	1.00	3.43	1.38	1.53	0.98	8.58	8.4	I
2019	Concordia	185	4	0.50	3.64	0.57	0.67	0.86	8.36	7.2	I
2019	Concordia	193	1	2.00	3.17	6.69	7.05	2.26	4.43	10.0	M
2019	Concordia	193	2	0.50	3.30	1.21	1.35	1.73	5.94	10.3	I
2019	Concordia	193	3	3.00	3.22	0.72	7.47	1.59	4.77	7.6	M
2019	Concordia	193	4	3.00	3.17	8.40	8.94	1.91	4.35	8.3	M
2019	Concordia	197	1	2.00	3.37	4.92	5.26	1.68	5.92	10.0	M
2019	Concordia	197	3	3.00	3.36	7.08	7.49	1.60	5.80	9.3	M
2019	Concordia	197	4	2.50	3.31	6.04	6.34	1.62	6.65	10.8	M
2019	Concordia	198	1	2.00	3.76	6.62	8.90	2.85	3.43	9.8	M
2019	Concordia	198	2	1.00	3.47	2.49	2.60	1.66	6.73	11.2	M
2019	Concordia	198	3	1.00	3.27	3.12	3.34	2.14	4.60	9.8	M
2019	Concordia	198	4	1.00	3.38	2.88	3.01	1.93	5.85	11.3	M
2019	Concordia	199	1	2.00	3.34	5.14	5.34	1.71	5.19	8.9	M
2019	Concordia	199	2	2.00	3.36	5.89	6.13	1.96	3.94	7.7	M
2019	Concordia	199	3	1.00	3.26	2.68	2.80	1.79	5.88	10.5	M
2019	Concordia	199	4	2.00	3.16	6.35	6.60	2.11	4.47	9.4	I
2019	Concordia	208	1	0.75	3.73	0.58	0.70	0.60	11.77	7.0	I
