Avances	Year	Cantidad
Publicaciones científicas internacionales	2019	0
Publicaciones en Congresos, Jornadas y Seminarios	2019	1
Cursos de posgrado	2019	5
Instituciones vinculadas al proyecto de beca doctoral	2019	8
Participación en proyectos científicos con financiamiento	2019	1
Publicaciones científicas internacionales	2020	0
Publicaciones en Congresos, Jornadas y Seminarios	2020	3
Cursos de posgrado	2020	5
Instituciones vinculadas al proyecto de beca doctoral	2020	3
Participación en proyectos científicos con financiamiento	2020	1
Publicaciones científicas internacionales	2021	2
Publicaciones en Congresos, Jornadas y Seminarios	2021	6
Cursos de posgrado	2021	2
Instituciones vinculadas al proyecto de beca doctoral	2021	3
Participación en proyectos científicos con financiamiento	2021	2
Publicaciones científicas internacionales	2022	1
Publicaciones en Congresos, Jornadas y Seminarios	2022	3
Cursos de posgrado	2022	2
Instituciones vinculadas al proyecto de beca doctoral	2022	2
Participación en proyectos científicos con financiamiento	2022	0
Publicaciones científicas internacionales	TOTAL	3
Publicaciones en Congresos, Jornadas y Seminarios	TOTAL	13
Cursos de posgrado	TOTAL	14
Instituciones vinculadas al proyecto de beca doctoral	TOTAL	16
Participación en proyectos científicos con financiamiento	TOTAL	4
