TEMP	ID	basal	3	7	10	14
5	1	56.97	63.37	66.42	67.37	63.59
5	2	58.20	62.56	54.09	61.39	67.88
5	3	48.75	54.62	59.18	54.93	60.48
5	4	58.97	65.51	66.05	65.85	66.01
5	5	44.82	57.92	65.84	55.34	50.35
5	6	45.96	48.69	55.31	55.89	
5	7	58.53	66.31	62.47	69.84	72.17
5	8	47.98	51.96	60.41	59.94	53.98
5	9	48.09	42.55	63.70	50.05	
5	10	52.86	60.42	51.71	51.15	52.59
5	11	51.58	52.32	64.33	63.75	60.17
5	12	54.33	48.25	55.67	46.64	49.10
5	13	53.00	55.10	63.53	56.20	
5	14	49.88	49.47	56.46	58.47	51.00
5	15	51.09	49.99	61.08	49.49	
5	16	49.70	54.04	55.97	54.56	
5	17	48.64	55.51	58.45	56.25	52.86
5	18	47.52	49.69	60.38	49.29	57.30
5	19	56.56	61.25	54.71	60.44	61.11
5	20	53.70	62.54	69.25	62.46	62.33
5	21	50.22	52.58	62.53	61.82	58.19
5	22	50.37	51.83	62.23	52.92	49.28
5	23	47.12	49.93	57.55	57.82	63.86
5	24	32.45	57.03	58.81	45.45	49.62
5	25	54.67	58.71	57.33	63.69	66.71
5	26	55.03	56.65	66.92	59.35	
5	27	56.75	60.33	61.01	58.20	60.05
5	28	47.69	50.33	63.52	59.00	65.55
5	29	56.97	48.66	61.24	65.18	64.28
5	30	49.13	49.37	56.41	59.79	55.90
5	31	42.76	61.34	61.71	68.67	62.06
5	32	51.43	41.35	54.99	48.10	61.95
5	33	47.29	50.41	62.42	54.03	59.59
5	34	54.82	57.70	66.17	50.95	66.26
5	35	55.38	57.04	62.77	64.48	69.60
5	36	57.95	66.38	61.45	65.95	67.06
5	37	44.09	53.34	64.12	52.93	53.78
5	38	52.62	56.97	60.14	65.52	64.89
5	39	52.81	48.77	64.03	54.65	60.46
5	40	50.87	58.82	65.55	60.14	64.32
5	41	50.38	56.52	59.36	63.70	67.38
5	42	54.07	55.64	57.96	62.48	56.08
5	43	52.51	52.35	66.60	55.54	64.62
5	44	48.28	51.27	60.43	67.52	57.71
5	45	54.67	56.80	60.23	54.87	51.11
5	46	57.72	61.48	60.83	58.81	65.46
5	47	54.48	53.26	65.29	70.52	58.78
5	48	54.46	55.53	59.01	57.78	61.51
5	49	57.39	62.05	50.00		69.99
5	50	52.86	53.22	60.93		
9	51	38.86	43.30	75.49	54.800	46.42
9	52	44.19	46.20	64.28	66.365	72.66
9	53	51.52	54.54	63.69		
9	54	54.23	55.82	63.53	68.755	68.56
9	55	54.75	59.69	66.53	67.412	
9	56	45.48	52.88	64.43		
9	57	47.40	48.10	46.45	62.826	59.68
9	58	55.13	56.14	59.88	68.287	62.19
9	59	55.73	59.22	63.45		
9	60	55.50	59.70	62.73		
9	61	51.69	56.07	67.16		
9	62	46.74	45.10	77.31	71.012	68.32
9	63	48.31	46.58	64.15	59.375	62.40
9	64	51.62	53.67	67.41		
9	65	53.75	56.75	69.41		
9	66	57.74	62.90	65.40		
9	67	58.45	61.01	61.45	75.190	73.17
9	68	32.26	47.14	64.76		
9	69	54.67	58.16	67.07		
9	70	42.89	42.97	68.33		
9	71	46.18	44.96	62.95	68.726	60.56
9	72	43.88	50.51	64.70	57.843	56.64
9	73	47.12	50.26	67.76	61.198	62.49
9	74	55.64	55.98	65.39		
9	75	56.32	59.53	70.93	65.031	57.82
9	76	58.92	64.95	65.73	73.828	69.83
9	77	55.13	56.27	64.44	62.060	62.10
9	78	57.92	56.65	66.62		
9	79	52.95	51.91	64.67	57.587	
9	80	53.86	53.61	64.31	62.759	61.26
9	81	49.85	46.98	70.45		
9	82	43.17	41.39	67.77	55.833	69.24
9	83	45.97	40.18	68.13	67.151	66.79
9	84	51.03	53.21	68.49	57.086	53.47
9	85	55.39	58.24	58.33		
9	86	52.10	58.01	70.30		
9	87	48.91	51.88	60.67	57.800	56.26
9	88	55.18	59.45	71.65		
9	89	49.67	45.97	58.58	71.460	65.83
9	90	57.67	60.92	63.79		
9	91	48.07	46.81	65.73		
9	92	54.08	59.83	70.34		
9	93	57.42	64.49	61.89		
9	94	37.07	39.61	52.68	61.705	54.66
9	95	60.11	62.78	59.33		
9	96	48.58	45.19	66.73		
9	97	41.66	46.63	61.31	66.762	
9	98	49.97	52.93	65.44	54.955	53.72
9	99	54.97	55.33	57.96	67.171	59.44
9	100	61.99	58.38	63.77		
