CAR	MAD	REP	CONS	CONF	Humedad	PS
Mg	I	1	0.322406	0.055200	0.828787184	0.171212816
Mg	I	2	0.229539	0.039300	0.828787184	0.171212816
Mg	I	3	0.446812	0.076500	0.828787184	0.171212816
Mg	MM	1	0.304208	0.037000	0.87837283	0.12162717
Mg	MM	2	0.370805	0.045100	0.87837283	0.12162717
Mg	MM	3	0.372450	0.045300	0.87837283	0.12162717
Mg	M	1	0.437913	0.049000	0.888105656	0.111894344
Mg	M	2	0.398590	0.044600	0.888105656	0.111894344
Mg	M	3	0.381610	0.042700	0.888105656	0.111894344
Mg	SM	1	0.205283	0.025500	0.875781385	0.124218615
Mg	SM	2	0.249560	0.031000	0.875781385	0.124218615
Mg	SM	3	0.291422	0.036200	0.875781385	0.124218615
K	I	1	17.512708	2.998400	0.828787184	0.171212816
K	I	2	15.060788	2.578600	0.828787184	0.171212816
K	I	3	29.343014	5.023900	0.828787184	0.171212816
K	MM	1	17.850452	2.171100	0.87837283	0.12162717
K	MM	2	21.442577	2.608000	0.87837283	0.12162717
K	MM	3	22.784383	2.771200	0.87837283	0.12162717
K	M	1	25.679582	2.873400	0.888105656	0.111894344
K	M	2	22.676749	2.537400	0.888105656	0.111894344
K	M	3	20.222649	2.262800	0.888105656	0.111894344
K	SM	1	15.967011	1.983400	0.875781385	0.124218615
K	SM	2	15.569325	1.934000	0.875781385	0.124218615
K	SM	3	21.196501	2.633000	0.875781385	0.124218615
Mn	I	1	0.000000	0.000000	0.828787184	0.171212816
Mn	I	2	0.000000	0.000000	0.828787184	0.171212816
Mn	I	3	0.000000	0.000000	0.828787184	0.171212816
Mn	MM	1	0.023021	0.002800	0.87837283	0.12162717
Mn	MM	2	0.012333	0.001500	0.87837283	0.12162717
Mn	MM	3	0.000000	0.000000	0.87837283	0.12162717
Mn	M	1	0.004469	0.000500	0.888105656	0.111894344
Mn	M	2	0.005362	0.000600	0.888105656	0.111894344
Mn	M	3	0.004469	0.000500	0.888105656	0.111894344
Mn	SM	1	0.000000	0.000000	0.875781385	0.124218615
Mn	SM	2	0.000000	0.000000	0.875781385	0.124218615
Mn	SM	3	0.000000	0.000000	0.875781385	0.124218615
