A	REG	ACC	O
2019	Concordia	154	6
2019	Concordia	154	6
2019	Concordia	154	4
2019	Concordia	154	4
2019	Concordia	154	5
2019	Concordia	154	5
2019	Concordia	154	5
2019	Concordia	154	4
2019	Concordia	154	4
2019	Concordia	154	4
2019	Concordia	156	4
2019	Concordia	156	5
2019	Concordia	156	4
2019	Concordia	156	4
2019	Concordia	156	5
2019	Concordia	156	4
2019	Concordia	156	3
2019	Concordia	156	5
2019	Concordia	156	5
2019	Concordia	156	4
2019	Concordia	161	3
2019	Concordia	161	5
2019	Concordia	161	4
2019	Concordia	161	2
2019	Concordia	161	2
2019	Concordia	161	3
2019	Concordia	161	4
2019	Concordia	161	3
2019	Concordia	161	4
2019	Concordia	161	2
2019	Concordia	171	3
2019	Concordia	171	3
2019	Concordia	171	2
2019	Concordia	171	3
2019	Concordia	171	2
2019	Concordia	171	2
2019	Concordia	171	5
2019	Concordia	171	3
2019	Concordia	171	2
2019	Concordia	171	2
2019	Concordia	174	6
2019	Concordia	174	3
2019	Concordia	174	4
2019	Concordia	174	2
2019	Concordia	174	4
2019	Concordia	174	5
2019	Concordia	174	3
2019	Concordia	174	3
2019	Concordia	174	3
2019	Concordia	174	6
2019	Concordia	175	5
2019	Concordia	175	5
2019	Concordia	175	5
2019	Concordia	175	3
2019	Concordia	175	5
2019	Concordia	175	6
2019	Concordia	175	5
2019	Concordia	175	5
2019	Concordia	175	4
2019	Concordia	175	5
2019	Concordia	190	2
2019	Concordia	190	4
2019	Concordia	190	5
2019	Concordia	190	3
2019	Concordia	190	4
2019	Concordia	190	4
2019	Concordia	190	2
2019	Concordia	190	6
2019	Concordia	190	4
2019	Concordia	190	4
2019	Concordia	193	4
2019	Concordia	193	4
2019	Concordia	193	4
2019	Concordia	193	4
2019	Concordia	193	4
2019	Concordia	193	5
2019	Concordia	193	5
2019	Concordia	193	5
2019	Concordia	193	6
2019	Concordia	193	3
2019	Concordia	208	6
2019	Concordia	208	6
2019	Concordia	208	5
2019	Concordia	208	5
2019	Concordia	208	5
2019	Concordia	208	5
2019	Concordia	208	5
2019	Concordia	208	4
2019	Concordia	208	4
2019	Concordia	208	4
2021	Concordia	154	8
2021	Concordia	154	7
2021	Concordia	154	6
2021	Concordia	154	5
2021	Concordia	154	7
2021	Concordia	154	8
2021	Concordia	154	8
2021	Concordia	154	5
2021	Concordia	154	6
2021	Concordia	154	5
2021	Concordia	156	1
2021	Concordia	156	5
2021	Concordia	156	6
2021	Concordia	161	1
2021	Concordia	161	3
2021	Concordia	161	3
2021	Concordia	161	0
2021	Concordia	161	4
2021	Concordia	171	4
2021	Concordia	171	4
2021	Concordia	171	4
2021	Concordia	171	4
2021	Concordia	171	6
2021	Concordia	171	3
2021	Concordia	171	5
2021	Concordia	171	4
2021	Concordia	171	4
2021	Concordia	171	3
2021	Concordia	174	8
2021	Concordia	174	6
2021	Concordia	174	7
2021	Concordia	174	2
2021	Concordia	174	7
2021	Concordia	174	5
2021	Concordia	174	6
2021	Concordia	174	6
2021	Concordia	174	8
2021	Concordia	174	5
2021	Concordia	175	6
2021	Concordia	175	0
2021	Concordia	175	7
2021	Concordia	175	4
2021	Concordia	175	5
2021	Concordia	190	0
2021	Concordia	190	4
2021	Concordia	190	6
2021	Concordia	190	4
2021	Concordia	190	4
2021	Concordia	193	7
2021	Concordia	193	5
2021	Concordia	193	6
2021	Concordia	193	7
2021	Concordia	193	7
2021	Concordia	208	8
2021	Concordia	208	6
2021	Concordia	208	6
2019	Palmar	260	6
2019	Palmar	260	5
2019	Palmar	260	4
