YEAR	REG	ACC	N	PFF	DE
2021	Concordia	154	1	4.851	20.22
2021	Concordia	154	2	10.031	31.05
2021	Concordia	154	3	10.043	30.18
2021	Concordia	154	4	5.327	24.04
2021	Concordia	154	5	4.868	21.01
2021	Concordia	154	6	12.099	32.17
2021	Concordia	154	7	3.895	19.18
2021	Concordia	154	8	2.9	17.39
2021	Concordia	154	9	7.81	25.41
2021	Concordia	154	10	1.495	15.16
2021	Concordia	154	11	7.265	25.35
2021	Concordia	154	12	5.725	22.23
2021	Concordia	156	1	1.543	14.07
2021	Concordia	156	2	4.421	21.45
2021	Concordia	156	3	0.518	9.62
2021	Concordia	156	4	1.365	13.01
2021	Concordia	156	5	3.229	18.07
2021	Concordia	156	6	2.927	18.11
2021	Concordia	156	7	0.542	10.12
2021	Concordia	156	8	5.906	25.45
2021	Concordia	161	1	5.222	22.15
2021	Concordia	161	2	6.21	25.68
2021	Concordia	161	3	3.512	19.09
2021	Concordia	161	4	12.845	31.43
2021	Concordia	161	5	4.127	20.51
2021	Concordia	161	6	3.842	18.56
2021	Concordia	161	7	4.234	19.63
2021	Concordia	161	8	5.3	19.68
2021	Concordia	161	9	2.021	15.17
2021	Concordia	161	10	3.102	20.54
2021	Concordia	161	11	5.804	24.29
2021	Concordia	161	12	2.744	17.34
2021	Concordia	171	1	15.883	33.51
2021	Concordia	171	2	10.68	27.16
2021	Concordia	171	3	5.916	23.79
2021	Concordia	171	4	6.002	23.73
2021	Concordia	171	5	11.594	33.84
2021	Concordia	171	6	14.486	34.41
2021	Concordia	171	7	15.574	34.62
2021	Concordia	171	8	15.65	34.42
2021	Concordia	171	9	9.202	28.41
2021	Concordia	171	10	3.39	18.63
2021	Concordia	171	11	17.452	35.33
2021	Concordia	171	12	17.389	37.69
2021	Concordia	174	1	4.348	20.58
2021	Concordia	174	2	7.001	25.13
2021	Concordia	174	3	2.841	17.69
2021	Concordia	174	4	9.697	27.3
2021	Concordia	174	5	4.641	20.65
2021	Concordia	174	6	1.6	13.87
2021	Concordia	174	7	5.467	23.22
2021	Concordia	174	8	1.112	12.39
2021	Concordia	174	9	7.591	27.84
2021	Concordia	174	10	5.768	22.19
2021	Concordia	174	11	6.63	23.45
2021	Concordia	174	12	2.918	17.53
2021	Concordia	178	1	10.676	29.44
2021	Concordia	178	2	5.695	21.98
2021	Concordia	178	3	2.743	16.68
2021	Concordia	178	4	2.03	14.86
2021	Concordia	178	5	1.631	13.94
2021	Concordia	178	6	1.229	11.83
2021	Concordia	178	7	0.546	9.21
2021	Concordia	178	8	0.361	7.92
2021	Concordia	178	9	0.392	8.68
2021	Concordia	178	10	0.164	5.65
2021	Concordia	178	11	0.204	7.01
2021	Concordia	178	12	0.105	5.25
2021	Concordia	185	1	10.196	26.25
2021	Concordia	185	2	2.551	17.39
2021	Concordia	185	3	2.331	15.19
2021	Concordia	185	4	2.603	16.93
2021	Concordia	185	5	2.08	14.34
2021	Concordia	185	6	1.765	15.02
2021	Concordia	185	7	1.162	12.55
2021	Concordia	185	8	1.526	13.87
2021	Concordia	185	9	0.63	10.25
2021	Concordia	185	10	0.918	12.15
2021	Concordia	185	11	0.529	9.35
2021	Concordia	185	12	0.749	10.43
2021	Concordia	190	1	8.552	26.93
2021	Concordia	190	2	2.9	16.67
2021	Concordia	190	3	1.724	13.82
2021	Concordia	193	1	10.741	29.69
2021	Concordia	193	2	5.641	23.49
2021	Concordia	193	3	6.527	24.68
2021	Concordia	193	4	1.538	13.86
2021	Concordia	193	5	4.239	22.18
2021	Concordia	193	6	2.926	18.31
2021	Concordia	193	7	8.689	26.56
2021	Concordia	193	8	4.166	22.49
2021	Concordia	193	9	2.961	18.7
2021	Concordia	193	10	4.775	23.99
2021	Concordia	193	11	1.575	14.04
2021	Concordia	193	12	4.253	21.06
2021	Concordia	197	1	2.866	18.09
