PSFL	DMAP	DMIP	NO	NS	NS/NO	NFL/cm	NFR/NFL	PSS	PSF	PSS/PSF
15.55	27.675	23.85	4.7	1.6	0.333333333333333	0.852746212121212	0.0178571428571429	1.60691666666667	2.0935	0.746871964384169
16.72	23.625	18.225	4.3	1.3	0.33	0.530555555555556	0.108333333333333	0.957833333333333	1.42816666666667	0.639873384713148
11.69	30.825	28.125	3.2	1.3	0.453333333333333	0.946022727272727	0.1625	1.79783333333333	2.19133333333333	0.815163501010638
14.68	29.7	22.275	2.7	1.2	0.47	1.55833333333333	0	1.60075	2.36675	0.688827387344603
12.2	32.85	26.775	3.9	1.3	0.348333333333333	2.55674603174603	0	1.17291666666667	1.49325	0.772109262245656
12.83	28.35	24.525	4.8	1	0.216666666666667	1.07638888888889	0	0.582	1.008	0.508694518474953
12.76	28.8	25.425	3.5	1	0.3	1.175	0.0357142857142857	0.626272727272727	1.26581818181818	0.438955835856975
16.39	29.925	25.425	3	1	0.392592592592593	1.02307692307692	0.145833333333333	0.515181818181818	1.04009090909091	0.466912270596763
11.97	29.25	25.425	3.8	1.1	0.32	2.06666666666667	0	0.640090909090909	1.00827272727273	0.607295247067994
13.1	24.075	21.825	4.4	1	0.235	1.775	0.03125	0.532916666666667	0.951333333333333	0.533920696239542
10.03	24.75	22.275	3.8	1	0.275	0.333333333333333	0	0.527416666666667	0.992916666666667	0.499762964458325
10.17	22.725	20.25	4.9	1.3	0.261666666666667	1.37083333333333	0	0.407833333333333	0.869333333333333	0.414142789263372
14.27	35.1	31.725	5.1	1.2	0.235	2.0520202020202	0.0331456456456456	1.20391666666667	1.79783333333333	0.655703323716793
13.06	30.15	24.075	5.1	1.33333333333333	0.265079365079365	0.975	0	0.909333333333333	1.35266666666667	0.624330909335815
13.56	38.775	35.775	5.1	2	0.402777777777778	0.796092796092796	0.0625	0.611833333333333	0.975666666666667	0.553974877985402
15.53	24.75	23.175	5.7	1.1	0.1975	2.19345238095238	0	1.01908333333333	1.45616666666667	0.675871468449487
12.52	30.6	26.55	5.2	1.33333333333333	0.233730158730159	1.20833333333333	0.05	0.921166666666667	1.888	0.450273863616736
14.43	29.025	26.1	5.3	1.2	0.247619047619048	1.9875	0	1.18141666666667	2.17191666666667	0.545809755052822
12.8	32.4	23.4	4.6	1.4	0.306666666666667	1.36282467532468	0.0595238095238095	0.751	1.31558333333333	0.547091560970495
12.84	35.1	31.05	5.8	1.2	0.216309523809524	3.00119047619048	0.00595238095238095	2.4305	3.09891666666667	0.762667187934357
11.94	31.275	23.85	2.9	1.22222222222222	0.509259259259259	2.5	0.031015037593985	0.671333333333333	1.22855555555556	0.472915730387052
11.23	29.7	23.4	4.3	1.5	0.388888888888889	2.46344696969697	0	0.7	1.1915	0.575972606728329
14.08	28.125	26.55	4	1.88888888888889	0.590740740740741	1.53345588235294	0	2.177	3.05011111111111	0.670697324040025
12.67	31.275	25.875	6.2	1.1	0.188452380952381	1.9625	0.0333333333333333	1.38175	1.98741666666667	0.689832919007393
11.27	32.85	31.05	4.8	1.1	0.238333333333333	0.9	0.0357142857142857	0.817363636363636	1.37118181818182	0.550475935922512
16.3	33.3	28.8	6	1.1	0.189404761904762	1.84672619047619	0.0297619047619048	0.732083333333333	1.10466666666667	0.65276736661631
17.33	31.275	24.3	4.9	1.125	0.33125	1.63410364145658	0.00862068965517241	1.726875	2.387625	0.656851483978915
18.87	31.275	27.45	4	1.5	0.341071428571429	1.82738095238095	0	2.32291666666667	2.97583333333333	0.780123235186992
8.25	29.25	26.325	4.5	1	0.242592592592593	1.57589285714286	0	0.253125	0.626625	0.365202237123887
15.15	38.925	36.9	4.7	2.5	0.5	1.49583333333333	0	0.557166666666667	1.0715	0.450240538939489
14.52	26.55	23.175	3.9	1.5	0.504166666666667	1.98214285714286	0.0147058823529412	1.2434	2.3785	0.435810736081516
10.58	27.225	24.3	3.2	1	0.442592592592593	2.25	0	0.176333333333333	0.853777777777778	0.199659762268245
10.33	27.75	23.175	4.5	1.5	0.40679012345679	3.10119047619048	0	0.428716666666667	0.871666666666667	0.470831428601032
14.74	28.575	22.05	4.6	1.11111111111111	0.251851851851852	1.82142857142857	0	0.62975	1.285125	0.365928295729179
9.54	27	22.95	3.9	1	0.416666666666667	2.125	0	0.026	0.475	0.0547368421052632
14.26	33.525	27.675	4.6	1.33333333333333	0.291666666666667	2.12723214285714	0	0.289333333333333	0.872	0.27862291179685
15.39	27.225	23.625	4.3	1.11111111111111	0.261111111111111	1.31574675324675	0.015625	1.48525	2.465625	0.570076224009198
16.48	34.425	28.8	4.2	1.16666666666667	0.305555555555556	1.72619047619048	0	0.0465	0.20975	0.237678728228174
11.756	30	27.75	6.5	1.3	0.216071428571429	2.125	0	0.823	1.539575	0.531284513297164
