"","year","site","phenotype","id","ps_flor","n_ovu","polen_type","max_polen2","min_polen2","max_polen","min_polen","mean_polen","ns"
"1","2019","Concordia","154","1",14,6,"grano de polen",16.5,15,24.75,22.5,23.625,2
"2","2019","Concordia","154","2",15.4,6,"grano de polen",18,18,27,27,27,3
"3","2019","Concordia","154","3",16.6,4,"grano de polen",18,16.5,27,24.75,25.875,1
"4","2019","Concordia","154","4",16.8,4,"grano de polen",18,12,27,18,22.5,1
"5","2019","Concordia","154","5",14.2,5,"grano de polen",16.5,15,24.75,22.5,23.625,3
"6","2019","Concordia","154","6",14.8,5,"grano de polen",19.5,15,29.25,22.5,25.875,1
"7","2019","Concordia","154","7",16.1,5,"grano de polen",21,19.5,31.5,29.25,30.375,1
"8","2019","Concordia","154","8",18.9,4,"grano de polen",22.5,19.5,33.75,29.25,31.5,2
"9","2019","Concordia","154","9",17,4,"grano de polen",16.5,12,24.75,18,21.375,1
"10","2019","Concordia","154","10",11.7,4,"grano de polen",18,16.5,27,24.75,25.875,1
"11","2019","Concordia","154","11",NA,NA,NA,NA,NA,NA,NA,NA,1
"12","2019","Concordia","154","12",NA,NA,NA,NA,NA,NA,NA,NA,2
"13","2019","Concordia","156","1",20.9,4,"grano de polen",13.5,12,20.25,18,19.125,1
"14","2019","Concordia","156","2",18.5,5,"grano de polen",18,12,27,18,22.5,1
"15","2019","Concordia","156","3",15.5,4,"grano de polen",13.5,9,20.25,13.5,16.875,1
"16","2019","Concordia","156","4",14.6,4,"grano de polen",18,12,27,18,22.5,2
"17","2019","Concordia","156","5",15.9,5,"grano de polen",13.5,9,20.25,13.5,16.875,1
"18","2019","Concordia","156","6",16.5,4,"grano de polen",16.5,12,24.75,18,21.375,1
"19","2019","Concordia","156","7",17.7,3,"grano de polen",18,13.5,27,20.25,23.625,3
"20","2019","Concordia","156","8",14.1,5,"grano de polen",18,16.5,27,24.75,25.875,1
"21","2019","Concordia","156","9",11.2,5,"grano de polen",15,12,22.5,18,20.25,1
"22","2019","Concordia","156","10",22.3,4,"grano de polen",13.5,13.5,20.25,20.25,20.25,1
"23","2019","Concordia","156","11",NA,NA,NA,NA,NA,NA,NA,NA,2
"24","2019","Concordia","156","12",NA,NA,NA,NA,NA,NA,NA,NA,2
"25","2019","Concordia","161","1",8.1,3,"grano de polen",18,18,27,27,27,1
"26","2019","Concordia","161","2",11.9,5,"grano de polen",22.5,21,33.75,31.5,32.625,1
"27","2019","Concordia","161","3",13.3,4,"grano de polen",19.5,18,29.25,27,28.125,1
"28","2019","Concordia","161","4",9.6,2,"grano de polen",19.5,18,29.25,27,28.125,1
"29","2019","Concordia","161","5",12.5,2,"grano de polen",22.5,21,33.75,31.5,32.625,2
"30","2019","Concordia","161","6",13,3,"grano de polen",18,13.5,27,20.25,23.625,2
"31","2019","Concordia","161","7",17,4,"grano de polen",19.5,18,29.25,27,28.125,1
"32","2019","Concordia","161","8",15.9,3,"grano de polen",22.5,21,33.75,31.5,32.625,1
"33","2019","Concordia","161","9",7.4,4,"grano de polen",21,19.5,31.5,29.25,30.375,2
"34","2019","Concordia","161","10",8.2,2,"grano de polen",22.5,19.5,33.75,29.25,31.5,1
"35","2019","Concordia","161","11",NA,NA,NA,NA,NA,NA,NA,NA,1
"36","2019","Concordia","161","12",NA,NA,NA,NA,NA,NA,NA,NA,2
"37","2019","Concordia","171","1",12.3,3,"grano de polen",21,19.5,31.5,29.25,30.375,1
"38","2019","Concordia","171","2",16.5,3,"grano de polen",22.5,12,33.75,18,25.875,1
"39","2019","Concordia","171","3",16.9,2,"grano de polen",18,16.5,27,24.75,25.875,1
"40","2019","Concordia","171","4",14.5,3,"grano de polen",18,18,27,27,27,3
"41","2019","Concordia","171","5",17.8,2,"grano de polen",19.5,13.5,29.25,20.25,24.75,1
"42","2019","Concordia","171","6",13.5,2,"grano de polen",19.5,16.5,29.25,24.75,27,1
"43","2019","Concordia","171","7",13.5,5,"grano de polen",21,16.5,31.5,24.75,28.125,1
"44","2019","Concordia","171","8",13.8,3,"grano de polen",21,12,31.5,18,24.75,1
"45","2019","Concordia","171","9",13.5,2,"grano de polen",16.5,12,24.75,18,21.375,1
"46","2019","Concordia","171","10",14.5,2,"grano de polen",21,12,31.5,18,24.75,1
"47","2019","Concordia","171","11",NA,NA,NA,NA,NA,NA,NA,NA,1
"48","2019","Concordia","171","12",NA,NA,NA,NA,NA,NA,NA,NA,1
"49","2019","Concordia","174","1",11.4,6,"grano de polen",21,16.5,31.5,24.75,28.125,2
