CAR	MAD	CONF	CONS
FDS	I	4.75	27.74325025
FDS	I	4.28	24.99812864
FDS	I	4.69	27.39280919
FDS	MM	3.15	25.89881856
FDS	MM	2.93	24.09001218
FDS	MM	3.82	31.40745615
FDS	M	1.92	17.15904428
FDS	M	1.89	16.89093421
FDS	M	1.5	13.40550334
FDS	SM	1.46	11.75347191
FDS	SM	2.35	18.91825958
FDS	SM	1.97	15.85913676
FDI	I	1.24	7.242448485
FDI	I	1.25	7.300855328
FDI	I	2.15	12.55747116
FDI	MM	1.16	9.537342707
FDI	MM	1.07	8.797376462
FDI	MM	1.3	10.68840131
FDI	M	1.61	14.38857359
FDI	M	1.04	9.294482318
FDI	M	1.13	10.09881252
FDI	SM	1.45	11.67296868
FDI	SM	1	8.050323227
FDI	SM	1.44	11.59246545
FDT	I	5.99	34.98569873
FDT	I	5.53	32.29898397
FDT	I	6.84	39.95028035
FDT	MM	4.31	35.43616126
FDT	MM	4	32.88738864
FDT	MM	5.12	42.09585746
FDT	M	3.53	31.54761787
FDT	M	2.93	26.18541653
FDT	M	2.63	23.50431586
FDT	SM	2.91	23.42644059
FDT	SM	3.35	26.96858281
FDT	SM	3.41	27.4516022
IS	I	0.261052632	0.261052632
IS	I	0.292056075	0.292056075
IS	I	0.458422175	0.458422175
IS	MM	0.368253968	0.368253968
IS	MM	0.365187713	0.365187713
IS	MM	0.340314136	0.340314136
IS	M	0.838541667	0.838541667
IS	M	0.55026455	0.55026455
IS	M	0.753333333	0.753333333
IS	SM	0.993150685	0.993150685
IS	SM	0.425531915	0.425531915
IS	SM	0.730964467	0.730964467
DT	I	79.29883139	79.29883139
DT	I	77.3960217	77.3960217
DT	I	68.56725146	68.56725146
DT	MM	73.08584687	73.08584687
DT	MM	73.25	73.25
DT	MM	74.609375	74.609375
DT	M	54.39093484	54.39093484
DT	M	64.50511945	64.50511945
DT	M	57.03422053	57.03422053
DT	SM	50.17182131	50.17182131
DT	SM	70.14925373	70.14925373
DT	SM	57.771261	57.771261
