MADUREZ	PFF	Dem	DeM	DP	PSF	H	NS	PSS	PSS/PSF	PSSc	De
Inmaduro	12.771	28.690	29.050	32.660	2.457	0.808	3.000	2.763	1.125	0.921	28.87
Inmaduro	12.240	27.960	29.530	28.990	2.451	0.800	4.000	0.948	0.387	0.237	28.745
Inmaduro	18.132	31.020	33.180	41.990	3.953	0.782	1.000	1.671	0.423	1.671	32.1
Inmaduro	13.574	29.990	33.780	25.210	2.153	0.841	2.000	1.222	0.568	0.611	31.885
Inmaduro	16.573	29.580	31.480	36.410	3.359	0.797	4.000	1.664	0.495	0.416	30.53
Inmaduro	13.765	27.070	30.580	35.340	2.815	0.795	1.000	0.908	0.323	0.908	28.825
Inmaduro	17.700	30.850	32.870	36.890	3.777	0.787	4.000	2.160	0.572	0.540	31.86
Inmaduro	22.115	33.620	36.870	38.450	4.387	0.802	3.000	2.316	0.528	0.772	35.245
Inmaduro	30.029	31.730	41.380	42.310	7.356	0.755	3.000	3.897	0.530	1.299	36.555
Inmaduro	37.760	43.550	44.340	44.680	8.697	0.770	3.000	4.389	0.505	1.463	43.945
Medio Maduro	28.670	34.000	45.000	37.330	5.112	0.822	2.000	4.332	0.847	2.166	39.5
Medio Maduro	29.462	40.650	41.480	36.350	5.231	0.822	1.000	2.402	0.459	2.402	41.065
Medio Maduro	35.828	40.110	48.340	45.080	5.846	0.837	2.000	2.680	0.458	1.340	44.225
Medio Maduro	36.047	38.210	43.060	46.240	5.154	0.857	1.000	1.882	0.365	1.882	40.635
Medio Maduro	41.430	41.050	44.270	37.360	6.937	0.833	1.000	4.120	0.594	4.120	42.66
Medio Maduro	43.180	40.960	52.600	48.800	8.859	0.795	2.000	4.500	0.508	2.250	46.78
Medio Maduro	41.860	46.260	50.520	31.560	5.922	0.859	3.000	3.996	0.675	1.332	48.39
Medio Maduro	47.460	45.690	49.970	49.550	4.875	0.897	2.000	1.678	0.344	0.839	47.83
Medio Maduro	52.420	46.090	55.060	53.230	12.399	0.763	5.000	6.905	0.557	1.381	50.575
Medio Maduro	44.850	41.300	45.800	52.420	5.890	0.869	3.000	2.967	0.504	0.989	43.55
Maduro	21.716	34.200	38.200	40.290	2.804	0.871	1.000	1.419	0.506	1.419	36.2
Maduro	21.087	32.410	39.690	37.060	2.833	0.866	2.000	2.172	0.767	1.086	36.05
Maduro	43.280	43.580	52.060	35.710	5.313	0.877	2.000	2.636	0.496	1.318	47.82
Maduro	45.930	42.870	53.050	36.110	5.798	0.874	3.000	3.282	0.566	1.094	47.96
Maduro	30.443	34.650	46.810	39.280	3.949	0.870	2.000	2.190	0.555	1.095	40.73
Maduro	34.688	42.690	49.290	32.140	4.092	0.882	3.000	2.451	0.599	0.817	45.99
Maduro	24.332	33.190	35.940	41.640	3.506	0.856	1.000	1.554	0.443	1.554	34.565
Maduro	42.120	50.340	52.210	34.310	2.439	0.942	3.000	2.940	1.205	0.980	51.275
Maduro	52.670	54.120	56.770	37.010	7.515	0.857	6.000	5.052	0.672	0.842	55.445
Maduro	79.260	55.640	60.670	52.560	11.730	0.852	3.000	6.312	0.538	2.104	58.155
SobreMaduro	24.878	41.77	45.25	32.37	3.705	0.851	3.000	2.078	0.561	0.693	43.51
SobreMaduro	34.256	39.89	45	38.62	4.599	0.866	1.000	2.121	0.461	2.121	42.445
SobreMaduro	38.264	42.54	44.36	49.87	6.34	0.834	1.000	2.130	0.336	2.130	43.45
SobreMaduro	42.118	51.67	54.03	34.7	6.76	0.839	3.000	4.520	0.669	1.507	52.85
SobreMaduro	54.474	43.58	56.66	51.27	10.959	0.799	4.000	6.514	0.594	1.629	50.12
SobreMaduro	28.072	40.49	51.21	32.23	5.477	0.805	2.000	3.150	0.575	1.575	45.85
SobreMaduro	47.442	45.26	53.71	39.63	7.708	0.838	3.000	3.925	0.509	1.308	49.485
