TRA	INI	FIN	PROP
OP	3	0	0
OP	10	1	0.1
OP	4	0	0
OP	4	0	0
OP	7	0	0
OP	8	0	0
OP	6	0	0
OP	8	0	0
OP	9	0	0
OP	4	0	0
OP	4	1	0.25
OP	5	1	0.2
OP	7	0	0
OP	4	1	0.25
OP	2	0	0
OP	4	0	0
OP	1	0	0
OP	6	1	0.166666667
OP	3	1	0.333333333
OP	9	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPO	1	0	0
NSPS	6	0	0
NSPS	3	0	0
NSPS	3	0	0
NSPS	10	0	0
NSPS	9	0	0
CPS	14	0	0
CPS	1	0	0
CPS	1	0	0
CPS	1	0	0
CPS	1	0	0
CPS	2	0	0
CPS	1	0	0
CPS	2	0	0
CPS	1	0	0
CPA	3	0	0
CPA	2	1	0.5
CPA	2	1	0.5
CPA	2	0	0
CPA	2	0	0
CPA	1	0	0
CPA	3	1	0.333333333
