YEAR	ACC	WEEK	DATE	N	P
2019	1	1	10/12/22	5	149.173
2019	2	1	10/12/22		
2019	3	1	10/12/22		
2019	4	1	10/12/22		
2019	5	1	10/12/22		
2019	6	1	10/12/22		
2019	7	1	10/12/22		
2019	8	1	10/12/22		
2019	9	1	10/12/22		
2019	10	1	10/12/22		
2019	11	1	10/12/22		
2019	12	1	10/12/22		
2019	13	1	10/12/22		
2019	14	1	10/12/22		
2019	15	1	10/12/22		
2019	1	2	17/12/22	30	656.7
2019	2	2	17/12/22		
2019	3	2	17/12/22		
2019	4	2	17/12/22		
2019	5	2	17/12/22	1	14.1
2019	6	2	17/12/22	15	516.1
2019	7	2	17/12/22		
2019	8	2	17/12/22		
2019	9	2	17/12/22	3	107.2
2019	10	2	17/12/22	3	101.9
2019	11	2	17/12/22	14	611.9
2019	12	2	17/12/22	16	504
2019	13	2	17/12/22		
2019	14	2	17/12/22		
2019	15	2	17/12/22		
2019	1	3	26/12/22	46	457.79
2019	2	3	26/12/22	29	592.89
2019	3	3	26/12/22	18	443.74
2019	4	3	26/12/22	23	579.13
2019	5	3	26/12/22	18	318
2019	6	3	26/12/22	57	890.11
2019	7	3	26/12/22	8	164.26
2019	8	3	26/12/22	8	219.425
2019	9	3	26/12/22	15	221.92
2019	10	3	26/12/22	45	941.04
2019	11	3	26/12/22	27	482.58
2019	12	3	26/12/22	6	106.82
2019	13	3	26/12/22	8	113.7
2019	14	3	26/12/22	1	4.89
2019	15	3	26/12/22	3	77.31
2020	1	1	14/12/22		
2020	2	1	14/12/22		
2020	3	1	14/12/22		
2020	4	1	14/12/22		
2020	5	1	14/12/22		
2020	6	1	14/12/22		
2020	7	1	14/12/22		
2020	8	1	14/12/22		
2020	9	1	14/12/22		
2020	10	1	14/12/22	4	145.3
2020	11	1	14/12/22	2	93.4
2020	12	1	14/12/22	8	219.5
2020	13	1	14/12/22		
2020	14	1	14/12/22		
2020	15	1	14/12/22		
2020	1	2	21/12/22	16	330
2020	2	2	21/12/22		
2020	3	2	21/12/22		
2020	4	2	21/12/22	1	62
2020	5	2	21/12/22	5	174
2020	6	2	21/12/22	3	72
2020	7	2	21/12/22	1	30
2020	8	2	21/12/22	19	983
2020	9	2	21/12/22	12	256
2020	10	2	21/12/22	6	136
2020	11	2	21/12/22	9	302
2020	12	2	21/12/22	60	1185
2020	13	2	21/12/22	1	18.5
2020	14	2	21/12/22	1	60.7
2020	15	2	21/12/22	5	207.7
2020	1	3	28/12/22	48	718.1
2020	2	3	28/12/22	10	238.3
2020	3	3	28/12/22	50	1150.5
2020	4	3	28/12/22	0	291
2020	5	3	28/12/22	33	404.9
2020	6	3	28/12/22	44	816.3
2020	7	3	28/12/22	35	430.2
2020	8	3	28/12/22	31	730
2020	9	3	28/12/22	7	84
2020	10	3	28/12/22	21	380.1
2020	11	3	28/12/22	19	299.3
2020	12	3	28/12/22	49	736.1
2020	13	3	28/12/22	12	152.7
2020	14	3	28/12/22	18	309.8
2020	15	3	28/12/22	4	81.6
2021	1	1	13/12/22	28	516
2021	2	1	13/12/22		
2021	3	1	13/12/22		
2021	4	1	13/12/22	16	425
2021	5	1	13/12/22	21	315.2
2021	6	1	13/12/22	7	111.9
2021	7	1	13/12/22		
2021	8	1	13/12/22		
2021	9	1	13/12/22	17	308.8
2021	10	1	13/12/22	47	942
2021	11	1	13/12/22	11	293.3
2021	12	1	13/12/22	42	681.1
2021	13	1	13/12/22		
2021	14	1	13/12/22	7	231.2
2021	15	1	13/12/22	8	308.9
2021	1	2	21/12/22	24	379.2
2021	2	2	21/12/22	11	351.2
2021	3	2	21/12/22	24	696.5
2021	4	2	21/12/22	30	789.3
2021	5	2	21/12/22	25	337.9
2021	6	2	21/12/22	7	107
2021	7	2	21/12/22	1	24.5
2021	8	2	21/12/22	14	416.8
2021	9	2	21/12/22	15	261.8
2021	10	2	21/12/22	36	663
2021	11	2	21/12/22	15	432.5
2021	12	2	21/12/22	54	978.6
2021	13	2	21/12/22	25	593.4
2021	14	2	21/12/22	20	581.9
2021	15	2	21/12/22	6	188.6
2021	1	3	28/12/22	3	19.9
2021	2	3	28/12/22	17	406
2021	3	3	28/12/22	19	320.8
2021	4	3	28/12/22	8	131.7
2021	5	3	28/12/22	11	82.9
2021	6	3	28/12/22	11	152.2
2021	7	3	28/12/22	5	78.4
2021	8	3	28/12/22	21	457.7
2021	9	3	28/12/22	19	283.3
2021	10	3	28/12/22	11	134
2021	11	3	28/12/22	8	121
2021	12	3	28/12/22	5	68.7
2021	13	3	28/12/22	16	263.3
2021	14	3	28/12/22	17	282.4
2021	15	3	28/12/22	14	328.8
