YEAR	ACC	P
2019	1	1263.663
2019	2	592.89
2019	3	443.74
2019	4	579.13
2019	5	332.1
2019	6	1406.21
2019	7	164.26
2019	8	219.425
2019	9	329.12
2019	10	1042.94
2019	11	1094.48
2019	12	610.82
2019	13	113.7
2019	14	4.89
2019	15	77.31
2020	1	1048.1
2020	2	238.3
2020	3	1150.5
2020	4	353
2020	5	578.9
2020	6	888.3
2020	7	460.2
2020	8	1713
2020	9	340
2020	10	661.4
2020	11	694.7
2020	12	2140.6
2020	13	171.2
2020	14	370.5
2020	15	289.3
2021	1	915.1
2021	2	757.2
2021	3	1017.3
2021	4	1346
2021	5	736
2021	6	371.1
2021	7	102.9
2021	8	874.5
2021	9	853.9
2021	10	1739
2021	11	846.8
2021	12	1728.4
2021	13	856.7
2021	14	1095.5
2021	15	826.3
