MAD	REP	TIME	O2	CO2
Inmaduro	1	14:02:00	130.0871377	65.04356886
Inmaduro	1	14:17:00	104.0697102	78.05228263
Inmaduro	1	14:31:00	83.62744567	55.75163045
Inmaduro	1	14:48:00	91.82621486	68.86966114
Inmaduro	1	15:01:00	90.06032611	60.04021741
Inmaduro	1	15:18:00	68.86966114	45.91310743
Inmaduro	1	15:32:00	83.62744567	55.75163045
Inmaduro	1	15:47:00	78.05228263	78.05228263
Inmaduro	1	16:02:00	78.05228263	52.03485509
Inmaduro	1	16:17:00	78.05228263	52.03485509
Inmaduro	2	14:03:00	143.5420942	107.6565707
Inmaduro	2	14:18:00	105.2642024	78.94815182
Inmaduro	2	14:32:00	112.783074	56.39153702
Inmaduro	2	14:48:00	98.68518978	74.01389233
Inmaduro	2	15:02:00	112.783074	56.39153702
Inmaduro	2	15:19:00	92.88017862	69.66013396
Inmaduro	2	15:33:00	84.58730553	56.39153702
Inmaduro	2	15:48:00	105.2642024	78.94815182
Inmaduro	2	16:03:00	78.94815182	52.63210122
Inmaduro	2	16:18:00	105.2642024	78.94815182
Maduro	1	14:00:00	141.611562	70.80578101
Maduro	1	14:15:00	102.275017	81.82001361
Maduro	1	14:29:00	109.5803754	65.74822523
Maduro	1	14:46:00	108.2911945	90.24266208
Maduro	1	14:59:00	118.009635	70.80578101
Maduro	1	15:16:00	108.2911945	72.19412966
Maduro	1	15:30:00	87.6643003	65.74822523
Maduro	1	15:45:00	122.7300204	102.275017
Maduro	1	16:00:00	81.82001361	61.36501021
Maduro	1	16:15:00	122.7300204	81.82001361
Maduro	2	14:01:00	127.5836371	63.79181855
Maduro	2	14:16:00	102.0669097	76.55018226
Maduro	2	14:30:00	109.3574032	82.01805242
Maduro	2	14:47:00	90.05903795	67.54427846
Maduro	2	15:00:00	117.7695112	88.32713338
Maduro	2	15:17:00	90.05903795	67.54427846
Maduro	2	15:31:00	82.01805242	82.01805242
Maduro	2	15:46:00	127.5836371	76.55018226
Maduro	2	16:01:00	76.55018226	51.03345484
Maduro	2	16:16:00	102.0669097	102.0669097
