T	Conc	inh	DS
Unripe	0.00	0.000	0.000
Unripe	1.25	89.139	13.04
Unripe	2.50	94.962	2.90
Unripe	5.00	96.642	1.18
Unripe	12.50	97.892	0.63
Medium ripe	0.00	0.000	0.000
Medium ripe	1.25	34.064	3.51
Medium ripe	2.50	47.424	1.87
Medium ripe	5.00	70.356	1.02
Medium ripe	12.50	96.112	0.24
Ripe	0.00	0.000	0.000
Ripe	1.25	53.772	3.39
Ripe	2.50	76.604	4.42
Ripe	5.00	94.572	6.78
Ripe	12.50	95.340	0.69
Overripe	0.00	0.000	0
Overripe	1.25	8.896	4.77
Overripe	2.50	1.747	5.88
Overripe	5.00	3.071	9.91
Overripe	12.50	71.459	5.56
