YEAR	REG	ACC	Conc	AAO	FEN	CLOA	CLOB	CARO	INDMAD	ATT	RATIO	BRIX	AAO25	AAO50	AAO100	AAO250
2019	Concordia	154	0.025	48.77	405.35	1.823399801	3.124027916	18.53000997	0.3611	1.984	6.350806452	12.6	60.02	80.37	94.44	94.01
2019	Concordia	154	0.050	71.16	266.06	3.935641283	6.712825651	21.45450902	0.3611	1.664	6.911057692	11.5	47.54	58.62	87.87	92.83
2019	Concordia	154	0.100	92.56	402.37	2.585881783	4.389147287	19.89728682	0.3611	2.208	3.759057971	8.3	50.10	71.79	94.59	93.22
2019	Concordia	154	0.250	94.40	248.64	3.977543147	6.768121827	19.45705584	0.3611	1.504	5.45212766	8.2	37.43	73.88	93.35	95.97
2019	Concordia	156	0.025	31.35	295.43	0.392062374	0.679275654	9.377062374	0.4722	1.984	3.830645161	7.6	23.25	45.83	78.45	95.66
2019	Concordia	156	0.050	55.45	233.14	4.315500506	7.290798787	12.45055612	0.4722	1.664	4.927884615	8.2	29.05	46.51	78.79	95.23
2019	Concordia	156	0.100	86.01	293.45	5.380738189	9.187598425	10.68425197	0.4722	1.76	3.352272727	5.9	35.78	63.97	93.78	96.17
2019	Concordia	156	0.250	95.78	242.49	10.37674044	17.64748491	18.23702213	0.4722				37.31	65.50	93.02	96.08
2019	Concordia	161	0.025	32.14	252.96	4.992251721	8.514650934	23.86430678	0.3889	3.008	3.191489362	9.6	20.82	36.64	67.11	95.73
2019	Concordia	161	0.050	53.37	466.71	14.46492462	24.55376884	14.36502513	0.3889	1.088	6.066176471	6.6	44.44	71.52	95.51	96.69
2019	Concordia	161	0.100	82.95	304.49	28.84582609	48.84985507	16.46801932	0.3889	1.28	6.09375	7.8	34.44	55.48	89.26	96.39
2019	Concordia	161	0.250	96.21	211.34	5.400331992	9.060965795	15.65030181	0.3889	2.304	3.90625	9	28.84	49.82	79.91	96.03
2019	Concordia	171	0.025	79.67	439.53	0.642268431	1.109073724	14.2241966	0.6111	3.52	3.75	13.2	97.67	96.69	97.86	98.44
2019	Concordia	171	0.050	95.26	498.14	1.866761421	3.214416244	16.19329949	0.6111	1.984	5.997983871	11.9	70.91	95.62	97.28	98.74
2019	Concordia	171	0.100	96.67	262.02	0.827984934	1.438229755	15.70094162	0.6111	2.24	4.330357143	9.7	77.82	94.94	96.11	96.89
